entity_type,description,used_by_intents,suggested_extractor,routing_value
school,Named college or university reference,"direct_lookup; attribute_lookup; comparison; recommendation","dictionary plus fuzzy match","Enables direct page fetches, compare workflows, and seeded recommendations"
comparison_target,Explicit multi-school or compare framing,"comparison; recommendation","multi-school detection plus compare regex","Switches the query into compare_pipeline instead of single-school retrieval"
major_or_program,Academic major or program cue,"filtered_search; multi_constraint; recommendation; career_outcomes","keyword lexicon plus lightweight NER","Narrows search and recommendation candidates to relevant academic tracks"
location,Geographic filter such as state or region,"filtered_search; multi_constraint; recommendation","gazetteer plus regex patterns","Applies region constraints before semantic ranking"
cost_constraint,Budget or affordability language,"cost_financial_aid; filtered_search; multi_constraint; recommendation","regex plus numeric pattern extraction","Routes finance questions correctly and adds affordability filters"
admissions_or_attribute_signal,Admissions or school metadata cue such as SAT GPA deadline acceptance rate or housing,"admissions_process; attribute_lookup","regex plus metadata keyword rules","Separates FAQ-style school facts from broader advisory workflows"
fit_or_culture_cue,Subjective culture or vibe signal,"campus_life_fit; rewrite_needed; recommendation","phrase list plus optional LLM extraction","Routes subjective fit questions away from pure search"
career_outcome_cue,Outcome or ROI language,"career_outcomes; recommendation","keyword patterns","Routes outcome-focused questions into outcomes_pipeline"
b2b_request_type,Institutional platform or partnership request,"b2b_partnership","regex rules","Short-circuits into the dedicated B2B workflow"
rewrite_cue,Similarity or rewrite phrasing such as but cheaper or like X,"rewrite_needed; recommendation","pattern rules","Triggers rewrite_then_route instead of directly trusting the surface form"
