Query,Persona,Intent,Complexity,Entities,Route,Notes
colleges where students start clubs easily,highschool student,filtered_search,medium,"clubs, student organizations, college",college_search,campus culture
schools with strong undergrad research in biology,highschool student,attribute_lookup,medium,"undergraduate research, biology, schools",college_search,program lookup
colleges with free mental health counseling,highschool student,attribute_lookup,short_circuit,"mental health, counseling, free, college",college_search,campus support
universities with optional math requirements,highschool student,attribute_lookup,short_circuit,"math requirements, optional, university",college_search,curriculum flexibility
colleges with strong entrepreneurship programs,highschool student,attribute_lookup,medium,"entrepreneurship, programs, college",college_search,program lookup
schools with high internship placement rates,highschool student,attribute_lookup,medium,"internship, placement rate, schools",college_search,career outcomes
universities with low student-to-faculty ratios,highschool student,attribute_lookup,short_circuit,"student-to-faculty ratio, low, university",college_search,class size
colleges with flexible double major options,highschool student,attribute_lookup,medium,"double major, flexible, college",college_search,academic flexibility
schools with strong philosophy + CS programs,highschool student,multi_constraint,complex,"philosophy, computer science, programs, schools",college_search,program combo
universities with low textbook costs,highschool student,attribute_lookup,short_circuit,"textbook costs, low, university",college_search,financial info
colleges with guaranteed housing beyond freshman year,highschool student,attribute_lookup,short_circuit,"housing, guaranteed, freshman year, college",college_search,housing policy
schools with free or discounted public transit,highschool student,attribute_lookup,short_circuit,"public transit, free, discounted, schools",college_search,campus perks
universities with campus emergency alert apps,highschool student,attribute_lookup,short_circuit,"emergency alert, app, campus, university",college_search,campus safety
colleges with strong alumni networks in tech,highschool student,attribute_lookup,medium,"alumni network, tech, college",college_search,networking filter
schools with high study abroad participation,highschool student,attribute_lookup,medium,"study abroad, participation, schools",college_search,program lookup
universities with first-generation student support,highschool student,attribute_lookup,medium,"first-generation, support, university",college_search,student support
colleges with strong pre-med advising,highschool student,attribute_lookup,medium,"pre-med, advising, college",college_search,advising quality
schools with strong pre-vet programs,highschool student,attribute_lookup,medium,"pre-vet, programs, schools",college_search,program lookup
universities with peer-led tutoring programs,highschool student,attribute_lookup,short_circuit,"peer-led tutoring, programs, university",college_search,academic support
colleges where students do meaningful community service,highschool student,filtered_search,medium,"community service, meaningful, college",college_search,campus culture
schools with student-led sustainability initiatives,highschool student,attribute_lookup,medium,"sustainability, student-led, initiatives, schools",college_search,campus culture
universities with campus shuttle systems,highschool student,attribute_lookup,short_circuit,"shuttle, campus, university",college_search,transport
colleges near major tech hubs,highschool student,filtered_search,medium,"tech hubs, location, college",college_search,location filter
schools with good weather year-round,highschool student,filtered_search,medium,"weather, year-round, schools",college_search,location + climate
universities with diverse student bodies,highschool student,filtered_search,medium,"diversity, student body, university",college_search,culture fit
colleges with strong humanities + STEM balance,highschool student,multi_constraint,complex,"humanities, STEM, balance, college",college_search,program combo
schools with healthy late-night dining options,highschool student,attribute_lookup,medium,"dining, late-night, healthy, schools",college_search,dietary preference
universities with student-run investment clubs,highschool student,attribute_lookup,medium,"investment clubs, student-run, university",college_search,extracurricular
colleges where students can research as freshmen,highschool student,filtered_search,medium,"research, freshmen, college",college_search,research access
schools with honors programs that aren’t stressful,highschool student,emotional_advisory,llm_needed,"honors program, low-stress, schools",college_search,workload concern
universities with high graduation rates,highschool student,attribute_lookup,short_circuit,"graduation rate, high, university",college_search,outcomes
colleges with strong AI research for undergraduates,highschool student,attribute_lookup,complex,"AI research, undergraduate, college",college_search,research focus
schools with low-cost STEM labs,highschool student,attribute_lookup,medium,"STEM labs, low-cost, schools",college_search,cost + facilities
universities with strong cybersecurity programs,highschool student,attribute_lookup,medium,"cybersecurity, programs, university",college_search,program lookup
colleges that support underrepresented groups in STEM,highschool student,filtered_search,medium,"underrepresented groups, STEM, support, college",college_search,student support
schools with strong creative writing programs,highschool student,attribute_lookup,medium,"creative writing, programs, schools",college_search,program lookup
universities with optional finals or pass/fail grading,highschool student,attribute_lookup,medium,"finals, pass/fail, optional, grading, university",college_search,grading policy
colleges with free language tutoring,highschool student,attribute_lookup,short_circuit,"language tutoring, free, college",college_search,academic support
schools with on-campus farmers markets,highschool student,attribute_lookup,short_circuit,"farmers market, on-campus, schools",college_search,campus feature
universities with co-op programs outside engineering,highschool student,filtered_search,complex,"co-op, non-engineering, university",college_search,co-op + non-engineering
colleges with strong neuroscience research,highschool student,attribute_lookup,medium,"neuroscience, research, college",college_search,research focus
schools with active student government,highschool student,attribute_lookup,medium,"student government, active, schools",college_search,campus culture
universities with cultural immersion programs,highschool student,attribute_lookup,medium,"cultural immersion, programs, university",college_search,program + culture
colleges with low student debt after graduation,highschool student,attribute_lookup,medium,"student debt, low, graduation, college",college_search,financial info
schools with good music programs for non-majors,highschool student,filtered_search,medium,"music programs, non-majors, schools",college_search,program filter
universities with big outdoor spaces for sports and leisure,highschool student,attribute_lookup,short_circuit,"outdoor spaces, sports, leisure, university",college_search,facilities
colleges with strong global health programs,highschool student,attribute_lookup,medium,"global health, programs, college",college_search,program lookup
schools with flexible gen ed requirements,highschool student,attribute_lookup,medium,"gen ed, flexible, requirements, schools",college_search,curriculum flexibility
universities with strong chemistry and biology labs,highschool student,multi_constraint,complex,"chemistry, biology, labs, university",college_search,program + facilities
colleges with high med school acceptance rates,highschool student,attribute_lookup,medium,"med school, acceptance rate, college",college_search,selectivity filter
schools with student-run newspapers,highschool student,attribute_lookup,short_circuit,"student-run newspaper, schools",college_search,extracurricular
universities with undergraduate teaching opportunities,highschool student,attribute_lookup,medium,"student-run newspaper, schools",college_search,academic options
colleges with peer-led study groups,highschool student,attribute_lookup,short_circuit,"undergraduate teaching, opportunities, university",college_search,academic support
schools with dorms that allow small pets,highschool student,attribute_lookup,short_circuit,"peer-led, study groups, college",college_search,campus policy
universities with student-run theaters,highschool student,attribute_lookup,short_circuit,"dorms, pets, allowed, schools",college_search,extracurricular
colleges with on-campus research grants,highschool student,attribute_lookup,medium,"student-run theater, university",college_search,research access
schools with strong robotics programs,highschool student,attribute_lookup,medium,"research grants, on-campus, college",college_search,program lookup
universities with environmental science majors,highschool student,attribute_lookup,short_circuit,"robotics, programs, schools",college_search,program lookup
colleges near mountains and skiing resorts,highschool student,filtered_search,medium,"environmental science, major, university",college_search,location + lifestyle
schools with strong film programs,highschool student,attribute_lookup,medium,"mountains, skiing, location, college",college_search,program lookup
universities with high job placement rates after graduation,highschool student,attribute_lookup,medium,"film, programs, schools",college_search,career outcomes
colleges with student-led startup incubators,highschool student,attribute_lookup,medium,"job placement, graduation, university",college_search,entrepreneurship
schools with strong fashion or design programs,highschool student,attribute_lookup,medium,"startup incubator, student-led, college",college_search,program lookup
universities with access to national parks nearby,highschool student,filtered_search,medium,"fashion, design, programs, schools",college_search,location filter
colleges with strong anthropology or archaeology programs,highschool student,attribute_lookup,medium,"national parks, location, university",college_search,program lookup
schools with strong internship pipelines in finance,highschool student,attribute_lookup,complex,"anthropology, archaeology, programs, college",college_search,career programs
universities with student-run coffee shops,highschool student,attribute_lookup,short_circuit,"internship, finance, pipeline, schools",college_search,campus feature
colleges with strong philosophy + psychology tracks,highschool student,multi_constraint,complex,"student-run coffee shop, university",college_search,program combo
schools with small class sizes and discussion-based learning,highschool student,multi_constraint,complex,"philosophy, psychology, college",college_search,class size + culture
universities with public transportation access,highschool student,attribute_lookup,short_circuit,"class size, discussion-based, schools",college_search,transport
colleges with optional Greek life,highschool student,attribute_lookup,medium,"public transportation, access, university",college_search,social culture
schools with student-run improv or comedy groups,highschool student,attribute_lookup,short_circuit,"Greek life, optional, college",college_search,extracurricular
universities with strong alumni support in engineering,highschool student,attribute_lookup,medium,"improv, comedy, student-run, schools",college_search,networking filter
colleges with healthy dorm meal plans,highschool student,attribute_lookup,medium,"alumni support, engineering, university",college_search,dietary preference
schools with active environmental clubs,highschool student,attribute_lookup,short_circuit,"meal plan, healthy, dorm, college",college_search,extracurricular
universities with research opportunities in marine biology,highschool student,attribute_lookup,medium,"environmental clubs, active, schools",college_search,research focus
colleges with robust data science programs,highschool student,attribute_lookup,medium,"marine biology, research, university",college_search,program lookup
