query_id,query_text,query_norm,resolved_route,resolution_method,resolution_confidence,resolution_note,suggested_route,suggested_confidence,row_count,observed_routes,observed_valid_routes,observed_pipeline_routes,canonical_intent,persona_hint,observed_intents,observed_personas,source_files,source_rows
df6069c769012cd5,affordable pre-med schools near Chicago with good job placement,affordable pre-med schools near chicago with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,complex:1|medium:1,complex:1|medium:1,,multi_constraint,high_school_student,multi_constraint:2,high_school_student:2,Data - Shivansh.csv,Data - Shivansh.csv:2114|Data - Shivansh.csv:2389
73a1b493bf8766aa,api access for college partners,api access for college partners,medium,manual_override,1.0,Direct B2B product or integration request,,0.0,171,complex:2|llm_needed:120|medium:46|short_circuit:3,complex:2|llm_needed:120|medium:46|short_circuit:3,,b2b_partnership,college_b2b,b2b_partnership:170|campus_life_fit:1,advisor:9|college_b2b:126|college_student:7|counselor_teacher:12|high_school_student:4|parent:13,Data - Shivansh.csv,Data - Shivansh.csv:25|Data - Shivansh.csv:70|Data - Shivansh.csv:220|Data - Shivansh.csv:223|Data - Shivansh.csv:408|Data - Shivansh.csv:449|Data - Shivansh.csv:522|Data - Shivansh.csv:530|Data - Shivansh.csv:1047|Data - Shivansh.csv:1087|Data - Shivansh.csv:1349|Data - Shivansh.csv:1574|Data - Shivansh.csv:1599|Data - Shivansh.csv:1729|Data - Shivansh.csv:1744|Data - Shivansh.csv:1770|Data - Shivansh.csv:1779|Data - Shivansh.csv:1800|Data - Shivansh.csv:1830|Data - Shivansh.csv:1840|Data - Shivansh.csv:1844|Data - Shivansh.csv:1857|Data - Shivansh.csv:1890|Data - Shivansh.csv:1913|Data - Shivansh.csv:1918|Data - Shivansh.csv:1938|Data - Shivansh.csv:1941|Data - Shivansh.csv:1957|Data - Shivansh.csv:1965|Data - Shivansh.csv:2016|Data - Shivansh.csv:2060|Data - Shivansh.csv:2069|Data - Shivansh.csv:2094|Data - Shivansh.csv:2129|Data - Shivansh.csv:2140|Data - Shivansh.csv:2175|Data - Shivansh.csv:2187|Data - Shivansh.csv:2228|Data - Shivansh.csv:2247|Data - Shivansh.csv:2271|Data - Shivansh.csv:2273|Data - Shivansh.csv:2285|Data - Shivansh.csv:2288|Data - Shivansh.csv:2293|Data - Shivansh.csv:2300|Data - Shivansh.csv:2304|Data - Shivansh.csv:2321|Data - Shivansh.csv:2331|Data - Shivansh.csv:2345|Data - Shivansh.csv:2371|Data - Shivansh.csv:2413|Data - Shivansh.csv:2416|Data - Shivansh.csv:2442|Data - Shivansh.csv:2460|Data - Shivansh.csv:2503|Data - Shivansh.csv:2505|Data - Shivansh.csv:2553|Data - Shivansh.csv:2561|Data - Shivansh.csv:2570|Data - Shivansh.csv:2572|Data - Shivansh.csv:2573|Data - Shivansh.csv:2590|Data - Shivansh.csv:2592|Data - Shivansh.csv:2617|Data - Shivansh.csv:2622|Data - Shivansh.csv:2643|Data - Shivansh.csv:2677|Data - Shivansh.csv:2693|Data - Shivansh.csv:2715|Data - Shivansh.csv:2733|Data - Shivansh.csv:2740|Data - Shivansh.csv:2777|Data - Shivansh.csv:2827|Data - Shivansh.csv:2866|Data - Shivansh.csv:2886|Data - Shivansh.csv:2907|Data - Shivansh.csv:2915|Data - Shivansh.csv:2948|Data - Shivansh.csv:2958|Data - Shivansh.csv:3034|Data - Shivansh.csv:3035|Data - Shivansh.csv:3054|Data - Shivansh.csv:3074|Data - Shivansh.csv:3085|Data - Shivansh.csv:3095|Data - Shivansh.csv:3115|Data - Shivansh.csv:3128|Data - Shivansh.csv:3132|Data - Shivansh.csv:3135|Data - Shivansh.csv:3151|Data - Shivansh.csv:3167|Data - Shivansh.csv:3179|Data - Shivansh.csv:3194|Data - Shivansh.csv:3227|Data - Shivansh.csv:3245|Data - Shivansh.csv:3274|Data - Shivansh.csv:3285|Data - Shivansh.csv:3318|Data - Shivansh.csv:3367|Data - Shivansh.csv:3384|Data - Shivansh.csv:3390|Data - Shivansh.csv:3392|Data - Shivansh.csv:3406|Data - Shivansh.csv:3413|Data - Shivansh.csv:3444|Data - Shivansh.csv:3461|Data - Shivansh.csv:3482|Data - Shivansh.csv:3488|Data - Shivansh.csv:3530|Data - Shivansh.csv:3537|Data - Shivansh.csv:3564|Data - Shivansh.csv:3569|Data - Shivansh.csv:3574|Data - Shivansh.csv:3580|Data - Shivansh.csv:3591|Data - Shivansh.csv:3617|Data - Shivansh.csv:3636|Data - Shivansh.csv:3647|Data - Shivansh.csv:3660|Data - Shivansh.csv:3683|Data - Shivansh.csv:3687|Data - Shivansh.csv:3702|Data - Shivansh.csv:3709|Data - Shivansh.csv:3712|Data - Shivansh.csv:3728|Data - Shivansh.csv:3730|Data - Shivansh.csv:3752|Data - Shivansh.csv:3786|Data - Shivansh.csv:3791|Data - Shivansh.csv:3798|Data - Shivansh.csv:3807|Data - Shivansh.csv:3816|Data - Shivansh.csv:3820|Data - Shivansh.csv:3866|Data - Shivansh.csv:3869|Data - Shivansh.csv:3892|Data - Shivansh.csv:3930|Data - Shivansh.csv:3934|Data - Shivansh.csv:3946|Data - Shivansh.csv:4015|Data - Shivansh.csv:4100|Data - Shivansh.csv:4112|Data - Shivansh.csv:4116|Data - Shivansh.csv:4119|Data - Shivansh.csv:4121|Data - Shivansh.csv:4125|Data - Shivansh.csv:4134|Data - Shivansh.csv:4142|Data - Shivansh.csv:4152|Data - Shivansh.csv:4174|Data - Shivansh.csv:4175|Data - Shivansh.csv:4198|Data - Shivansh.csv:4233|Data - Shivansh.csv:4253|Data - Shivansh.csv:4265|Data - Shivansh.csv:4267|Data - Shivansh.csv:4268|Data - Shivansh.csv:4321|Data - Shivansh.csv:4324|Data - Shivansh.csv:4334|Data - Shivansh.csv:4335|Data - Shivansh.csv:4344|Data - Shivansh.csv:4403|Data - Shivansh.csv:4416|Data - Shivansh.csv:4421|Data - Shivansh.csv:4424|Data - Shivansh.csv:4453|Data - Shivansh.csv:4460|Data - Shivansh.csv:4463|Data - Shivansh.csv:4470|Data - Shivansh.csv:4488
7dddbda280d9a36b,Arizona State housing guarantee,arizona state housing guarantee,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",complex,0.5,4,complex:2|medium:1|short_circuit:1,complex:2|medium:1|short_circuit:1,,exact_lookup,parent,career_outcomes:1|comparison:1|exact_lookup:1|recommendation:1,parent:4,Data - Shivansh.csv,Data - Shivansh.csv:189|Data - Shivansh.csv:244|Data - Shivansh.csv:935|Data - Shivansh.csv:981
182644d7d9a8567b,best architecture schools on the East Coast,best architecture schools on the east coast,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,llm_needed:1|medium:1,llm_needed:1|medium:1,,filtered_search,high_school_student,filtered_search:2,high_school_student:2,Data - Shivansh.csv,Data - Shivansh.csv:662|Data - Shivansh.csv:1452
2a793e62356c0d40,best colleges for aerospace engineering job outcomes,best colleges for aerospace engineering job outcomes,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,5,llm_needed:2|medium:3,llm_needed:2|medium:3,,career_outcomes,parent,career_outcomes:5,advisor:1|college_student:1|high_school_student:1|parent:2,Data - Shivansh.csv,Data - Shivansh.csv:35|Data - Shivansh.csv:168|Data - Shivansh.csv:597|Data - Shivansh.csv:1004|Data - Shivansh.csv:4195
bc09814389d1c4cf,best colleges for computer science job outcomes,best colleges for computer science job outcomes,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,6,medium:5|short_circuit:1,medium:5|short_circuit:1,,career_outcomes,counselor_teacher,career_outcomes:6,advisor:1|college_student:1|counselor_teacher:2|high_school_student:1|parent:1,Data - Shivansh.csv,Data - Shivansh.csv:241|Data - Shivansh.csv:701|Data - Shivansh.csv:1169|Data - Shivansh.csv:3004|Data - Shivansh.csv:4078|Data - Shivansh.csv:4141
2764952501728792,best colleges for mechanical engineering job outcomes,best colleges for mechanical engineering job outcomes,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,9,llm_needed:1|medium:8,llm_needed:1|medium:8,,career_outcomes,high_school_student,career_outcomes:9,advisor:1|college_student:1|counselor_teacher:3|high_school_student:3|parent:1,Data - Shivansh.csv,Data - Shivansh.csv:11|Data - Shivansh.csv:249|Data - Shivansh.csv:354|Data - Shivansh.csv:631|Data - Shivansh.csv:1883|Data - Shivansh.csv:2846|Data - Shivansh.csv:2925|Data - Shivansh.csv:3252|Data - Shivansh.csv:4244
8d1b95fffabcfada,best colleges for psychology job outcomes,best colleges for psychology job outcomes,complex,manual_override,1.0,Ranking and recommendation using outcome data,,0.0,13,complex:1|medium:12,complex:1|medium:12,,career_outcomes,parent,career_outcomes:13,advisor:3|college_student:3|counselor_teacher:2|parent:5,Data - Shivansh.csv,Data - Shivansh.csv:413|Data - Shivansh.csv:722|Data - Shivansh.csv:1431|Data - Shivansh.csv:1473|Data - Shivansh.csv:2176|Data - Shivansh.csv:2243|Data - Shivansh.csv:2506|Data - Shivansh.csv:2559|Data - Shivansh.csv:2744|Data - Shivansh.csv:3244|Data - Shivansh.csv:3523|Data - Shivansh.csv:4154|Data - Shivansh.csv:4261
2c846bda509d7d12,boston university,boston university,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,5,llm_needed:1|short_circuit:4,llm_needed:1|short_circuit:4,short_circuit:1,exact_lookup,counselor_teacher,exact_lookup:5,advisor:1|college_student:1|counselor_teacher:2|parent:1,Data - Anika.csv|Data - Shivansh.csv,Data - Anika.csv:142|Data - Shivansh.csv:106|Data - Shivansh.csv:1039|Data - Shivansh.csv:2113|Data - Shivansh.csv:2133
9cfac4e4df3fb3a0,Boston University housing guarantee,boston university housing guarantee,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",complex,0.357143,7,complex:3|llm_needed:1|medium:1|short_circuit:2,complex:3|llm_needed:1|medium:1|short_circuit:2,,attribute_lookup,parent,admissions_process:1|attribute_lookup:2|b2b_partnership:1|campus_life_fit:1|comparison:1|recommendation:1,parent:7,Data - Shivansh.csv,Data - Shivansh.csv:158|Data - Shivansh.csv:412|Data - Shivansh.csv:571|Data - Shivansh.csv:803|Data - Shivansh.csv:904|Data - Shivansh.csv:1092|Data - Shivansh.csv:2367
