query_id,query_text,query_norm,route,resolution_method,resolution_confidence,resolution_note,suggested_route,suggested_confidence,row_count,observed_routes,observed_valid_routes,observed_pipeline_routes,canonical_intent,persona_hint,observed_intents,observed_personas,source_files,source_rows
fa6fb484812d72bb,2yr eng degree job ready?,2yr eng degree job ready,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,high:1,,,advisory,community_college_student,advisory:1,community_college_student:1,Data - Nimisha.csv,Data - Nimisha.csv:358
21602c669ce516e3,30yr old learn cs dumb?,30yr old learn cs dumb,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,high:1,,,emotional_advisory,career_changer,emotional_advisory:1,career_changer:1,Data - Nimisha.csv,Data - Nimisha.csv:372
7b7b155c6500acb6,academically challenging but supportive colleges,academically challenging but supportive colleges,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:265
ccf805552ecc2b02,academically rigorous colleges with support services,academically rigorous colleges with support services,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:205
3bf5da5b1089b9a3,academically solid colleges with career pipelines,academically solid colleges with career pipelines,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:445
2fcd4bd3c54b4d89,academically solid schools with small class sizes,academically solid schools with small class sizes,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:325
15fa7a71a9e57d24,academically strong colleges with flexible majors,academically strong colleges with flexible majors,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:745
2653277d5a7efee9,academically strong colleges with flexible scheduling,academically strong colleges with flexible scheduling,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:685
562064705a9cca57,academically strong colleges with internship access,academically strong colleges with internship access,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:385
7b908586101fbadd,academically strong colleges with outdoor recreation access,academically strong colleges with outdoor recreation access,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:625
8c6a02ae9ca23eb5,academically strong colleges with strong internships,academically strong colleges with strong internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:865
