query_text,true_persona,true_intent,expected_route,expected_tier,notes,expected_primary_route
UT Austin,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,shortcut
Columbia,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,shortcut
georgia tech,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,shortcut
Virginia Tech overview,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,shortcut
Stanford acceptance rate,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,shortcut
Carnegie Mellon housing policy,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,shortcut
University of Michigan acceptance rate,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,shortcut
Stanford tuition,high_school_student,attribute_lookup,typesense_plus_metadata,easy,gold label; high_school_student; attribute_lookup,shortcut
universities with strong pre-med,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,retrieval
colleges near the beach,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,retrieval
best psychology schools in Texas,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,retrieval
universities with strong psychology,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; filtered_search,retrieval
small economics colleges in warm states under 40k,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,retrieval
colleges near the beach with scholarships with strong research and campus safety,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,retrieval
small mechanical engineering colleges in the Midwest with strong aid,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,retrieval
small engineering colleges near Chicago under 40k,high_school_student,multi_constraint,foundry_multi_agent,complex,gold label; high_school_student; multi_constraint,retrieval
Harvard vs Carnegie Mellon for architecture,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,retrieval
Duke vs Carnegie Mellon for business,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,retrieval
Carnegie Mellon tuition vs MIT tuition,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,retrieval
University of Michigan vs Northwestern,high_school_student,comparison,compare_pipeline,complex,gold label; high_school_student; comparison,retrieval
recommend colleges in Texas for biology under 30k,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation,retrieval
what schools should i apply to for psychology,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation,retrieval
schools like Purdue but cheaper,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation,retrieval
recommend colleges in the Midwest for architecture with scholarships,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation,retrieval
how do i apply to UT Austin,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,retrieval
how do i apply to Cornell,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,retrieval
Virginia Tech application deadlines,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,retrieval
what essays does Cornell require,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,retrieval
Stanford financial aid for out of state,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,retrieval
cheapest economics schools in the Midwest,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,retrieval
Brown scholarships,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,retrieval
cheapest nursing schools in the Midwest,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,retrieval
Purdue campus culture,high_school_student,campus_life_fit,llm_advisory,complex,gold label; high_school_student; campus_life_fit,llm
schools with collaborative culture,high_school_student,campus_life_fit,llm_advisory,complex,gold label; high_school_student; campus_life_fit,llm
Cornell job placement for data science,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,retrieval
best colleges for psychology job outcomes,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,retrieval
schools with high internship placement rates,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,retrieval
best colleges for nursing job outcomes,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,retrieval
harvard but less stressful,high_school_student,rewrite_needed,rewrite_then_route,complex,gold label; high_school_student; rewrite_needed,llm
ucla vibe but not so expensive,high_school_student,rewrite_needed,rewrite_then_route,complex,gold label; high_school_student; rewrite_needed,llm
UC Berkeley but cheaper,high_school_student,rewrite_needed,rewrite_then_route,complex,gold label; high_school_student; rewrite_needed,llm
how can our university join the platform,high_school_student,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,b2b
api access for college partners,high_school_student,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,b2b
