query_text,persona,intent_label,complexity,notes,route,tier,entity_types,normalization_flags
Carnegie Mellon,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
MIT housing,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
schools in Texas with low student-to-faculty ratio,high_school_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
affordable engineering schools in warm states with good job placement,high_school_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
Purdue vs MIT,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
recommend large colleges not Florida for architecture safety schools,high_school_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
do i need sat for UC Berkeley,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
how to lower college costs,high_school_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,,
schools with normal people,high_school_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
best colleges for mechanical engineering job outcomes,high_school_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
ucla vibe but not so expensive,high_school_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",persona:b2b_pattern
cornell,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
UC Irvine scholarships,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,cost_constraint,
colleges in the Midwest,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
colleges not Florida under 30k with strong research and internships,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
Cornell vs UT Austin,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools like Harvard but cheaper,college_student,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
what essays does University of Maryland require,college_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
how to lower college costs,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,,
schools good for sports culture,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
schools with high internship placement rates,college_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,career_outcome_cue,
harvard but less stressful,college_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
api access for college partners,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
Vanderbilt,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
University of Florida housing guarantee,parent,attribute_lookup,short_circuit,single attribute; parent framing,typesense_plus_metadata,easy,"school,location,admissions_or_attribute_signal",
best political science schools in Texas,parent,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
colleges in Texas full ride options with strong research and internships,parent,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
Penn State tuition vs Princeton tuition,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
what schools should i apply to for architecture in California under 20k,parent,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
University of Washington application deadlines,parent,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
how to lower college costs,parent,cost_financial_aid,medium,cost / aid,finance_guidance,medium,,
University of Michigan chill campus,parent,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
best colleges for aerospace engineering job outcomes,parent,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
ucla vibe but not so expensive,parent,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
enterprise access for counselors and districts,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
schools with strong first gen support,counselor_teacher,filtered_search,short_circuit,simple entity; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
Carnegie Mellon mental health counseling,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
schools in the Midwest with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters; counselor framing,semantic_or_faceted_search,medium,location,
schools with strong first gen support,counselor_teacher,filtered_search,complex,multi-constraint; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
UCLA tuition vs Purdue tuition,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
recommend medium-sized colleges in Texas for neuroscience not too competitive,counselor_teacher,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
University of Washington admissions profile average sat and gpa,counselor_teacher,admissions_process,medium,how-to / admissions; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Purdue admissions profile average sat and gpa,counselor_teacher,admissions_process,medium,cost / aid; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
schools good for chill campus,counselor_teacher,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
Penn State job placement for engineering,counselor_teacher,career_outcomes,medium,outcomes; counselor framing,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
mit without the suffering,counselor_teacher,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
Rice University,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
UC San Diego acceptance rate,advisor,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,admissions_or_attribute_signal,
universities with strong biology,advisor,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,major_or_program,
