Query,Persona,Intent,Complexity,Entities,Route,Notes
stanford but cheaper,high school student,rewrite_needed,complex,Stanford,college_search,prestige cost combo
ucia vibe vs usc vibe,high_school_student,comparison,complex,"UCLA, USC",college_search,campus culture comparison
colleges where people dont care about football,high_school_student,advisory,llm_needed,"football, lifestyle",college_search,lifestyle preference
mit without the suffering,high_school_student,rewrite_needed,complex,MIT,college_search,workload concern
schools with normal people,high_school_student,emotional_advisory,llm_needed,social fit,college_search,social fit
colleges with computer science and philosophy,high_school_student,multi_constraint,complex,"CS, Philosophy",academic_program_info,academic combo
best colleges for pre-med with low tuition,high_school_student,multi_constraint,complex,"Pre-med, tuition",college_search,cost + program
colleges in warm states but not florida,high_school_student,filtered_search,complex,"Florida, climate",college_search,location climate
schools good for introverts,high_school_student,emotional_advisory,llm_needed,introverts,college_search,personality fit
stanford,high_school_student,exact_lookup,short_circuit,Stanford,simple_entity_info,simple entity
ucia,high_school_student,exact_lookup,short_circuit,UCLA,simple_entity_info,simple entity
university of maryland,high_school_student,exact_lookup,short_circuit,UMD,simple_entity_info,simple entity
usc,high_school_student,exact_lookup,short_circuit,USC,simple_entity_info,simple entity
nyu,high_school_student,exact_lookup,short_circuit,NYU,simple_entity_info,simple entity
georgia tech,high_school_student,exact_lookup,short_circuit,Georgia Tech,simple_entity_info,simple entity
harvard,high_school_student,exact_lookup,short_circuit,Harvard,simple_entity_info,simple entity
princeton,high_school_student,exact_lookup,short_circuit,Princeton,simple_entity_info,simple entity
mit,high_school_student,exact_lookup,short_circuit,MIT,simple_entity_info,simple entity
penn state,high_school_student,exact_lookup,short_circuit,Penn State,simple_entity_info,simple entity
USC acceptance rate,high_school_student,attribute_lookup,short_circuit,"USC, acceptance rate",admissions_info,lookup
UCLA tuition,high_school_student,attribute_lookup,short_circuit,"UCLA, tuition",financial_aid_info,lookup
does NYU have nursing,high_school_student,attribute_lookup,short_circuit,"NYU, nursing",academic_program_info,program lookup
average SAT for Penn State,high_school_student,attribute_lookup,short_circuit,"Penn State, SAT",admissions_info,lookup
Georgia Tech engineering ranking,high_school_student,attribute_lookup,short_circuit,"GT, engineering",academic_program_info,lookup
Stanford computer science program,high_school_student,attribute_lookup,short_circuit,"Stanford, CS",academic_program_info,program lookup
Harvard financial aid,high_school_student,attribute_lookup,short_circuit,"Harvard, financial aid",financial_aid_info,financial info
MIT acceptance rate,high_school_student,attribute_lookup,short_circuit,"MIT, acceptance rate",admissions_info,lookup
Princeton dorms,high_school_student,attribute_lookup,short_circuit,"Princeton, dorms",campus_services_info,campus info
best majors at UCLA,high_school_student,attribute_lookup,short_circuit,"UCLA, majors",academic_program_info,academic info
UCLA vs UC Berkeley,high_school_student,comparison,medium,"UCLA, UC Berkeley",college_search,school comparison
NYU vs Columbia for pre-med,high_school_student,comparison,medium,"NYU, Columbia",college_search,program comparison
Penn State vs Maryland engineering,high_school_student,comparison,medium,"Penn State, UMD",college_search,program comparison
Stanford vs MIT computer science,high_school_student,comparison,medium,"Stanford, MIT",college_search,program comparison
Harvard vs Yale student life,high_school_student,comparison,medium,"Harvard, Yale",college_search,culture comparison
USC vs UCLA film school,high_school_student,comparison,medium,"USC, UCLA",college_search,program comparison
Georgia Tech vs MIT engineering,high_school_student,comparison,medium,"GT, MIT",college_search,program comparison
Princeton vs Harvard economics,high_school_student,comparison,medium,"Princeton, Harvard",college_search,program comparison
public vs private colleges,high_school_student,comparison,medium,"public, private",college_search,school type
big school vs small school,high_school_student,comparison,medium,size,college_search,campus size
colleges with good nursing programs,high_school_student,filtered_search,medium,Nursing,academic_program_info,program filter
colleges in California,high_school_student,filtered_search,medium,California,college_search,location filter
colleges with computer science,high_school_student,filtered_search,medium,CS,academic_program_info,program filter
colleges with good financial aid,high_school_student,filtered_search,medium,Financial Aid,financial_aid_info,financial filter
colleges with low acceptance rates,high_school_student,filtered_search,medium,Acceptance rate,admissions_info,selectivity filter
colleges with engineering programs,high_school_student,filtered_search,medium,Engineering,academic_program_info,program filter
colleges near big cities,high_school_student,filtered_search,medium,Urban,college_search,location filter
colleges with pre-med tracks,high_school_student,filtered_search,medium,Pre-med,academic_program_info,program filter
colleges with strong alumni networks,high_school_student,filtered_search,medium,Alumni network,college_search,networking filter
colleges with internships,high_school_student,filtered_search,medium,Internships,career_services_info,program filter
nursing in warm states,high_school_student,multi_constraint,complex,"Nursing, climate",academic_program_info,program + location
pre-med low tuition good?,high_school_student,multi_constraint,complex,"Pre-med, tuition",college_search,cost + program
engineering + sports culture,high_school_student,multi_constraint,complex,"Engineering, sports",college_search,program extracurriculars
small class + good aid,high_school_student,multi_constraint,complex,"class size, aid",college_search,class size + financial
schools good for cs and business,high_school_student,multi_constraint,complex,"CS, Business",academic_program_info,program combo
colleges near tech hubs,high_school_student,multi_constraint,complex,"tech hubs, internships",career_services_info,location + opportunities
affordable private + good dorms,high_school_student,multi_constraint,complex,"private, dorms",college_search,cost + facilities
study abroad and engineering,high_school_student,multi_constraint,complex,"study abroad, engineering",academic_program_info,program + study abroad
colleges with good job placement,high_school_student,multi_constraint,complex,job placement,career_services_info,outcomes
what colleges should I apply to,high_school_student,advisory,llm_needed,application,admissions_info,application guidance
how many colleges to apply to,high_school_student,advisory,llm_needed,application,admissions_info,application strategy
what is a safety school,high_school_student,advisory,llm_needed,safety school,admissions_info,school type
how do I choose a major,high_school_student,advisory,llm_needed,major,academic_program_info,academic planning
