Query,Persona,Intent,Complexity,Entities,Route,Notes
transfer from community college to cs program,College student,multi_constraint,medium,major:computer_science; pathway:transfer,pathway_search,Transfer planning
best minors with computer science,College student,advisory,llm_needed,major:computer_science; attribute:minor_combinations,llm_advisory,Major pairing
double major cs and business worth it,College student,advisory,llm_needed,major:computer_science; major:business,llm_advisory,ROI question
easiest engineering majors,College student,advisory,llm_needed,major:engineering; attribute:difficulty,llm_advisory,Difficulty perception
engineering internships sophomore year,College student,attribute_lookup,medium,major:engineering; attribute:internships,opportunity_search,Early internships
best colleges for switching into cs,College student,filtered_search,medium,major:computer_science; attribute:internal_transfer,filter_search,Internal transfer friendly
cs programs without weed out classes,College student,attribute_lookup,medium,major:computer_science; attribute:no_weeder,filter_search,Anti-weeder focus
data science vs computer engineering,College student,comparison,medium,major:data_science; major:computer_engineering,compare_majors,Field comparison
fastest growing tech majors,College student,advisory,llm_needed,field:technology; attribute:job_growth,llm_advisory,Labor trends
schools with paid undergrad research,College student,multi_constraint,complex,attribute:paid_research; level:undergraduate,filter_search,Funding filter
affordable out of state engineering schools,Parent,multi_constraint,complex,major:engineering; attribute:out_of_state; attribute:affordable,filter_search,Budget focus
colleges with strong pre med advising,Parent,attribute_lookup,medium,track:pre_med; attribute:advising,filter_search,Support focus
safest large public universities,Parent,filtered_search,medium,attribute:public; attribute:large_enrollment; attribute:safety,filter_search,Safety priority
colleges with high graduation rates,Parent,attribute_lookup,short_circuit,attribute:graduation_rate,metric_lookup,Direct metric
universities generous with merit aid,Parent,filtered_search,medium,attribute:merit_aid,filter_search,Aid search
engineering schools with small classes,Parent,multi_constraint,medium,major:engineering; attribute:small_class_size,filter_search,Class size
colleges with strong mental health support,Parent,attribute_lookup,medium,attribute:mental_health_support,filter_search,Wellness concern
best roi public universities,Parent,attribute_lookup,medium,attribute:roi; attribute:public,filter_search,ROI ranking
schools good for first generation students,Parent,filtered_search,medium,attribute:first_gen_support,filter_search,Support programs
colleges with guaranteed housing,Parent,attribute_lookup,medium,attribute:guaranteed_housing,filter_search,Housing stability
colleges with strong cs outcomes in our state,Counselor/Teacher,multi_constraint,complex,major:computer_science; attribute:career_outcomes; filter:state,filter_search,Regional filter
mid tier engineering schools for high gpa students,Counselor/Teacher,filtered_search,medium,major:engineering; attribute:mid_tier,filter_search,Match guidance
colleges that accept many ap credits,Counselor/Teacher,attribute_lookup,short_circuit,attribute:ap_credit_policy,policy_lookup,Credit transfer
best colleges for undecided stem students,Counselor/Teacher,advisory,llm_needed,field:stem; attribute:undecided_friendly,llm_recommendation,Flexibility
cs programs with strong retention,Counselor/Teacher,attribute_lookup,medium,major:computer_science; attribute:retention_rate,filter_search,Persistence metric
schools with strong career centers,Counselor/Teacher,attribute_lookup,medium,attribute:career_services,filter_search,Employment focus
universities with bridge programs,Counselor/Teacher,attribute_lookup,medium,attribute:bridge_programs,filter_search,Transition support
colleges good for introverted students,Counselor/Teacher,emotional_advisory,llm_needed,attribute:student_culture; trait:introvert_friendly,llm_recommendation,Culture fit
engineering programs with co op,Counselor/Teacher,multi_constraint,medium,major:engineering; attribute:co_op,filter_search,Experiential
colleges with strong writing across curriculum,Counselor/Teacher,attribute_lookup,medium,attribute:writing_intensive,filter_search,Academic rigor
universities strong in ai research undergrad,Advisor,multi_constraint,complex,major:computer_science; field:ai; level:undergraduate,filter_search,AI focus
schools with flexible gen ed for engineers,Advisor,multi_constraint,medium,major:engineering; attribute:flexible_gen_ed,filter_search,Curriculum flexibility
cs programs supportive of startups,Advisor,attribute_lookup,medium,major:computer_science; attribute:startup_culture,filter_search,Entrepreneurship
colleges combining cs and neuroscience,Advisor,multi_constraint,complex,major:computer_science; major:neuroscience,filter_search,Interdisciplinary
best schools for product management path,Advisor,advisory,llm_needed,career:product_management; field:technology,llm_advisory,Career mapping
universities with industry sponsored capstones,Advisor,attribute_lookup,medium,attribute:industry_partnerships,filter_search,Applied learning
strong alumni networks in tech hubs,Advisor,attribute_lookup,medium,attribute:alumni_network; field:technology,filter_search,Network strength
cs schools strong in human computer interaction,Advisor,multi_constraint,complex,major:computer_science; field:hci,filter_search,Subfield filter
colleges good for triple major flexibility,Advisor,advisory,llm_needed,attribute:academic_flexibility,llm_advisory,Policy nuance
engineering schools with semester abroad,Advisor,multi_constraint,medium,major:engineering; attribute:study_abroad,filter_search,Global exposure
benchmark our engineering program against peers,Colleges (B2B),comparison,complex,major:engineering; attribute:peer_institutions,analytics_route,Competitive analysis
increase cs applicant diversity strategies,Colleges (B2B),advisory,llm_needed,major:computer_science; attribute:diversity,llm_strategy,Enrollment strategy
improve retention in stem majors,Colleges (B2B),advisory,llm_needed,field:stem; attribute:retention,llm_strategy,Persistence focus
marketing engineering to female students,Colleges (B2B),advisory,llm_needed,major:engineering; demographic:female_students,llm_strategy,Outreach strategy
top competitors for our business program,Colleges (B2B),comparison,medium,major:business; attribute:peer_institutions,analytics_route,Competitive intel
states sending most cs applicants,Colleges (B2B),attribute_lookup,medium,major:computer_science; attribute:geography,analytics_route,Funnel analytics
analyze yield rate trends,Colleges (B2B),attribute_lookup,medium,attribute:yield_rate,analytics_route,Enrollment metric
identify growth markets for stem recruitment,Colleges (B2B),advisory,llm_needed,field:stem; attribute:geography,llm_strategy,Market expansion
compare tuition to peer tech schools,Colleges (B2B),comparison,medium,attribute:tuition; attribute:peer_institutions,analytics_route,Pricing analysis
highlight differentiators for our cs program,Colleges (B2B),advisory,llm_needed,major:computer_science; attribute:program_strengths,llm_strategy,Branding focus
engineering schools where undergrads publish before senior year,High school student,multi_constraint,complex,major:engineering;attribute:undergrad_publication,filter_search,Research intensity
cs programs that don’t require physics 2,High school student,multi_constraint,complex,major:computer_science;policy:curriculum_requirements,filter_search,Curriculum nuance
colleges where pre med students actually collaborate,High school student,emotional_advisory,llm_needed,track:pre_med;attribute:collaborative_culture,llm_recommendation,Anti-competitive vibe
universities with startup accelerators open to freshmen,High school student,multi_constraint,complex,attribute:startup_accelerator;level:freshman_access,filter_search,Early access
schools where cs majors can take film production,High school student,multi_constraint,complex,major:computer_science;major:film,filter_search,Cross-disciplinary
small engineering colleges with division I sports,High school student,multi_constraint,complex,major:engineering;attribute:small_enrollment;attribute:division_i,filter_search,Size + athletics
colleges where dorms have private bathrooms guaranteed,High school student,attribute_lookup,medium,attribute:private_bathroom_dorms,filter_search,Housing spec
universities that allow cs + design double counting credits,High school student,policy_lookup,complex,major:computer_science;major:design;policy:double_counting,policy_lookup,Academic flexibility
tech schools with required internships for graduation,High school student,multi_constraint,complex,attribute:mandatory_internship;field:technology,filter_search,Experiential
campuses where 50%+ students study abroad in stem,High school student,multi_constraint,complex,field:stem;metric:study_abroad_rate,analytics_filter,Rare stat
engineering colleges with no weed out calculus sequence,High school student,attribute_lookup,medium,major:engineering;attribute:no_weeder,filter_search,Retention culture
colleges where cs lectures are capped under 60 students,High school student,multi_constraint,complex,major:computer_science;attribute:lecture_size_cap,filter_search,Class size control
universities with on campus venture capital funds,High school student,attribute_lookup,medium,attribute:campus_vc_fund,filter_search,Entrepreneurship
schools where pre med acceptance rates are published transparently,High school student,attribute_lookup,medium,track:pre_med;attribute:data_transparency,filter_search,Transparency
colleges offering paid lab research first semester,High school student,multi_constraint,complex,attribute:paid_research;level:first_semester,filter_search,Early funding
cs departments known for low attrition after freshman year,High school student,attribute_lookup,medium,major:computer_science;metric:attrition_rate,analytics_filter,Persistence
universities where engineering seniors mentor freshmen formally,High school student,attribute_lookup,medium,major:engineering;attribute:peer_mentorship,filter_search,Mentorship
schools with project based cs curriculum only,High school student,attribute_lookup,medium,major:computer_science;attribute:project_based,filter_search,Teaching style
campuses where undergrads can patent inventions,High school student,attribute_lookup,medium,attribute:student_patent_support,filter_search,IP support
colleges with strong AI ethics coursework built into cs,High school student,multi_constraint,complex,major:computer_science;field:ai_ethics,filter_search,Ethics integration
transferring from business to engineering internally,College student,pathway,complex,major:business;major:engineering;policy:internal_transfer,pathway_search,Internal switch
cs degree paths that avoid heavy theory focus,College student,advisory,llm_needed,major:computer_science;attribute:applied_focus,llm_advisory,Curriculum fit
universities where engineering co ops extend graduation but increase salary,College student,advisory,llm_needed,major:engineering;attribute:co_op;metric:salary,llm_advisory,ROI nuance
double majoring cs and philosophy workload reality,College student,advisory,llm_needed,major:computer_science;major:philosophy,llm_advisory,Workload concern
stem majors with lowest burnout rates,College student,advisory,llm_needed,field:stem;attribute:burnout_rate,llm_advisory,Wellness
schools where engineering curves don’t crush GPAs,College student,emotional_advisory,llm_needed,major:engineering;policy:grading_curve,llm_recommendation,Grade culture
cs programs prioritizing teamwork grading,College student,attribute_lookup,medium,major:computer_science;attribute:team_based_assessment,filter_search,Collaboration grading
engineering programs with mandatory humanities minors,College student,attribute_lookup,medium,major:engineering;policy:humanities_requirement,policy_lookup,Breadth requirement
colleges where switching majors is administratively simple,College student,attribute_lookup,medium,policy:major_switch_flexibility,filter_search,Bureaucracy level
universities offering remote internships integrated into credits,College student,multi_constraint,complex,attribute:credit_internship;attribute:remote_option,filter_search,Modern format
affordable cs programs with above average starting salaries,Parent,multi_constraint,complex,major:computer_science;metric:starting_salary;attribute:affordable,analytics_filter,ROI
engineering schools with 4 year graduation guarantee,Parent,attribute_lookup,medium,major:engineering;policy:grad_guarantee,filter_search,Completion assurance
colleges with transparent cost breakdown by major,Parent,attribute_lookup,medium,policy:cost_transparency,policy_lookup,Budget clarity
universities where freshmen cannot be cut from engineering,Parent,attribute_lookup,medium,major:engineering;policy:no_internal_weeding,filter_search,Retention policy
schools publishing post grad salary by department,Parent,attribute_lookup,medium,metric:department_salary,analytics_filter,Department data
colleges where internships are coordinated centrally,Parent,attribute_lookup,medium,attribute:centralized_internship_support,filter_search,Structured support
engineering programs with highest 5 year salary growth,Parent,attribute_lookup,medium,major:engineering;metric:salary_growth,analytics_filter,Long term ROI
cs degrees with integrated cybersecurity track,Parent,multi_constraint,complex,major:computer_science;major:cybersecurity,filter_search,Specialization
universities that limit class registration bottlenecks,Parent,attribute_lookup,medium,policy:registration_capacity,filter_search,Access reliability
colleges where housing costs are capped annually,Parent,attribute_lookup,medium,policy:housing_cost_cap,policy_lookup,Budget predictability
colleges matching students to research by algorithm,Counselor/Teacher,attribute_lookup,medium,attribute:research_matching_system,filter_search,Structured research
stem schools with documented mentorship outcomes,Counselor/Teacher,attribute_lookup,medium,field:stem;metric:mentorship_outcomes,analytics_filter,Impact tracking
universities with bridge math before engineering sequence,Counselor/Teacher,attribute_lookup,medium,major:engineering;policy:math_bridge,filter_search,Academic ramp
colleges where 1st gen stem students persist at higher rates,Counselor/Teacher,multi_constraint,complex,field:stem;attribute:first_gen_support;metric:persistence_rate,analytics_filter,Equity
cs departments integrating ethics across 4 years,Counselor/Teacher,attribute_lookup,medium,major:computer_science;field:ethics,filter_search,Vertical curriculum
engineering colleges with capstone industry sponsorship rate above 70%,Counselor/Teacher,multi_constraint,complex,major:engineering;metric:industry_sponsorship_rate,analytics_filter,Industry depth
colleges publishing internal major change success rates,Counselor/Teacher,attribute_lookup,medium,policy:major_change_data,analytics_filter,Transparency
stem programs with dedicated academic coaches,Counselor/Teacher,attribute_lookup,medium,field:stem;attribute:academic_coaching,filter_search,Support
universities measuring collaborative learning impact,Counselor/Teacher,attribute_lookup,medium,attribute:collaborative_learning_metrics,analytics_filter,Outcomes
cs schools tracking internship conversion to full time,Counselor/Teacher,attribute_lookup,medium,major:computer_science;metric:internship_conversion_rate,analytics_filter,Pipeline strength
benchmarking our engineering admit yield against peer tech schools,Colleges (B2B),comparison,complex,major:engineering;metric:yield_rate;attribute:peer_institutions,analytics_route,Competitive benchmarking
which regions underperform in our cs applicant funnel,Colleges (B2B),attribute_lookup,complex,major:computer_science;metric:applicant_funnel;attribute:region,analytics_route,Recruitment gaps
modeling financial aid elasticity for stem applicants,Colleges (B2B),advisory,complex,field:stem;metric:financial_aid_elasticity,llm_strategy,Pricing strategy
retention impact of removing calculus weeder,Colleges (B2B),advisory,complex,major:engineering;policy:weeder_course,llm_strategy,Academic reform
competitor analysis of co op participation rates,Colleges (B2B),comparison,complex,attribute:co_op;attribute:peer_institutions,analytics_route,Program strength
predicting cs enrollment growth over 5 years,Colleges (B2B),advisory,complex,major:computer_science;metric:enrollment_projection,llm_strategy,Forecasting
impact of startup incubator on engineering yield,Colleges (B2B),advisory,complex,major:engineering;attribute:startup_incubator;metric:yield_rate,analytics_route,Enrollment lever
mapping internship density by metro proximity,Colleges (B2B),attribute_lookup,complex,attribute:internship_density;attribute:metro_proximity,analytics_route,Geographic factor
identifying high ROI messaging for first gen stem,Colleges (B2B),advisory,complex,field:stem;attribute:first_gen;metric:roi,llm_strategy,Marketing
analyzing dorm satisfaction impact on cs retention,Colleges (B2B),advisory,complex,major:computer_science;metric:dorm_satisfaction;metric:retention_rate,analytics_route,Housing effect
mechanical engineering programs strong in robotics but not huge lecture halls,High school student,multi_constraint,high,major:mechanical_engineering; attribute:robotics_focus; attribute:small_class_size,filtered_search,Academic + environment constraint
cs programs with strong peer tutoring culture,High school student,attribute_lookup,medium,major:computer_science; attribute:peer_tutoring,filtered_search,Support culture focus
colleges where engineers still study abroad easily,High school student,multi_constraint,high,major:engineering; attribute:study_abroad_friendly,filtered_search,Flexibility for engineers
engineering schools with project based freshman year,High school student,attribute_lookup,medium,major:engineering; attribute:project_based_learning,filtered_search,Curriculum structure
tech focused colleges with strong art scene,High school student,multi_constraint,high,attribute:technology_focus; attribute:arts_culture,llm_recommendation,Culture blend
cs schools where internships start freshman year,High school student,attribute_lookup,medium,major:computer_science; attribute:early_internships,filtered_search,Early career exposure
engineering colleges with strong maker spaces,High school student,attribute_lookup,medium,major:engineering; attribute:makerspace,filtered_search,Facilities driven
mid sized universities where cs students collaborate not compete,High school student,emotional_advisory,high,major:computer_science; attribute:collaborative_culture; attribute:medium_enrollment,llm_recommendation,Culture nuance
engineering programs with strong alumni mentorship networks,High school student,attribute_lookup,medium,major:engineering; attribute:alumni_network,filtered_search,Networking focus
cs colleges with low dropout rates,High school student,attribute_lookup,medium,major:computer_science; attribute:retention_rate,filtered_search,Completion concern
engineering programs that integrate business courses,High school student,attribute_lookup,medium,major:engineering; attribute:business_integration,filtered_search,Interdisciplinary
cs schools strong in cybersecurity but not military heavy,High school student,multi_constraint,high,major:computer_science; specialization:cybersecurity; attribute:non_military_culture,llm_recommendation,Cultural filter
engineering colleges with active undergraduate research funding,High school student,attribute_lookup,medium,major:engineering; attribute:undergrad_research_funding,filtered_search,Research opportunity
cs departments known for ethical ai focus,High school student,attribute_lookup,medium,major:computer_science; specialization:ai_ethics,filtered_search,Thematic emphasis
engineering schools with strong mental health support,High school student,multi_constraint,high,major:engineering; attribute:mental_health_resources,filtered_search,Wellness concern
cs programs where students build startups during undergrad,High school student,attribute_lookup,medium,major:computer_science; attribute:entrepreneurship_support,filtered_search,Startup pipeline
engineering colleges with hands on labs first semester,High school student,attribute_lookup,medium,major:engineering; attribute:early_lab_exposure,filtered_search,Experiential learning
schools combining environmental engineering and policy,High school student,multi_constraint,high,major:environmental_engineering; attribute:policy_integration,filtered_search,Dual interest
cs programs with strong women in tech communities,High school student,attribute_lookup,medium,major:computer_science; attribute:women_in_tech_support,filtered_search,Inclusion focus
engineering schools with co op built into curriculum,High school student,attribute_lookup,medium,major:engineering; attribute:co_op_program,filtered_search,Structured work model
is switching from biology to biomedical engineering risky junior year,College student,advisory,high,major:biology; major:biomedical_engineering,llm_advisory,Late major pivot
cs double major with philosophy worth extra semester,College student,advisory,high,major:computer_science; major:philosophy,llm_advisory,Interdisciplinary ROI
engineering internships vs research for grad school prep,College student,comparison,medium,major:engineering; attribute:internships; attribute:research_experience,llm_advisory,Career trajectory
dropping minor to graduate early in engineering,College student,advisory,medium,major:engineering; attribute:minor,llm_advisory,Timeline tradeoff
cs major burnout what alternatives in tech,College student,advisory,high,major:computer_science; field:technology,llm_advisory,Career redirection
staying fifth year for masters in engineering worth it,College student,advisory,high,major:engineering; degree:masters,llm_advisory,Accelerated masters
engineering gpa 2.9 career options,College student,advisory,medium,major:engineering; attribute:gpa_2_9,llm_advisory,GPA anxiety
cs internship unpaid vs paid startup choice,College student,comparison,medium,major:computer_science; attribute:internship_type,llm_advisory,Compensation tradeoff
engineering to consulting pathway realistic,College student,advisory,medium,major:engineering; career:consulting,llm_advisory,Industry pivot
cs major add statistics minor helpful,College student,advisory,medium,major:computer_science; major:statistics,llm_advisory,Skill complement
should my kid choose engineering at smaller liberal arts college,Parent,advisory,high,major:engineering; attribute:liberal_arts_college,llm_advisory,Fit question
worried about daughter in male dominated engineering program,Parent,emotional_advisory,high,major:engineering; attribute:gender_balance,llm_advisory,Inclusion concern
comparing cs salary outcomes across regions for my son,Parent,attribute_lookup,medium,major:computer_science; attribute:regional_salary,filtered_search,Regional ROI
engineering degree with heavy loans responsible decision,Parent,advisory,high,major:engineering; attribute:student_loans,llm_advisory,Financial caution
