query_text,intent_raw,complexity_raw,persona_raw,pipeline_raw,entities_raw,notes_raw,source_file,source_row,query_norm,query_id,intent,persona,observed_route_raw,observed_route,pipeline,pipeline_route
mechanical engineering programs strong in robotics but not huge lecture halls,multi_constraint,high,High school student,filtered_search,major:mechanical_engineering; attribute:robotics_focus; attribute:small_class_size,Academic + environment constraint,Data - Nimisha.csv,112,mechanical engineering programs strong in robotics but not huge lecture halls,2750601dad23c009,multi_constraint,high_school_student,high,high,filtered_search,
colleges where engineers still study abroad easily,multi_constraint,high,High school student,filtered_search,major:engineering; attribute:study_abroad_friendly,Flexibility for engineers,Data - Nimisha.csv,114,colleges where engineers still study abroad easily,7e33e433c4415e88,multi_constraint,high_school_student,high,high,filtered_search,
tech focused colleges with strong art scene,multi_constraint,high,High school student,llm_recommendation,attribute:technology_focus; attribute:arts_culture,Culture blend,Data - Nimisha.csv,116,tech focused colleges with strong art scene,98b1ac843a6e5864,multi_constraint,high_school_student,high,high,llm_recommendation,
mid sized universities where cs students collaborate not compete,emotional_advisory,high,High school student,llm_recommendation,major:computer_science; attribute:collaborative_culture; attribute:medium_enrollment,Culture nuance,Data - Nimisha.csv,119,mid sized universities where cs students collaborate not compete,beb3eab9da7ffd26,emotional_advisory,high_school_student,high,high,llm_recommendation,
cs schools strong in cybersecurity but not military heavy,multi_constraint,high,High school student,llm_recommendation,major:computer_science; specialization:cybersecurity; attribute:non_military_culture,Cultural filter,Data - Nimisha.csv,123,cs schools strong in cybersecurity but not military heavy,97969387492daa4c,multi_constraint,high_school_student,high,high,llm_recommendation,
engineering schools with strong mental health support,multi_constraint,high,High school student,filtered_search,major:engineering; attribute:mental_health_resources,Wellness concern,Data - Nimisha.csv,126,engineering schools with strong mental health support,528947ee42e82176,multi_constraint,high_school_student,high,high,filtered_search,
schools combining environmental engineering and policy,multi_constraint,high,High school student,filtered_search,major:environmental_engineering; attribute:policy_integration,Dual interest,Data - Nimisha.csv,129,schools combining environmental engineering and policy,ff607110f3042809,multi_constraint,high_school_student,high,high,filtered_search,
is switching from biology to biomedical engineering risky junior year,advisory,high,College student,llm_advisory,major:biology; major:biomedical_engineering,Late major pivot,Data - Nimisha.csv,132,is switching from biology to biomedical engineering risky junior year,330d29e20c5e62f1,advisory,college_student,high,high,llm_advisory,
cs double major with philosophy worth extra semester,advisory,high,College student,llm_advisory,major:computer_science; major:philosophy,Interdisciplinary ROI,Data - Nimisha.csv,133,cs double major with philosophy worth extra semester,4eae29fd247fcde7,advisory,college_student,high,high,llm_advisory,
cs major burnout what alternatives in tech,advisory,high,College student,llm_advisory,major:computer_science; field:technology,Career redirection,Data - Nimisha.csv,136,cs major burnout what alternatives in tech,a86709d4b9328a0f,advisory,college_student,high,high,llm_advisory,
staying fifth year for masters in engineering worth it,advisory,high,College student,llm_advisory,major:engineering; degree:masters,Accelerated masters,Data - Nimisha.csv,137,staying fifth year for masters in engineering worth it,c2bb8e60978e9417,advisory,college_student,high,high,llm_advisory,
should my kid choose engineering at smaller liberal arts college,advisory,high,Parent,llm_advisory,major:engineering; attribute:liberal_arts_college,Fit question,Data - Nimisha.csv,142,should my kid choose engineering at smaller liberal arts college,db0187a88247c681,advisory,parent,high,high,llm_advisory,
worried about daughter in male dominated engineering program,emotional_advisory,high,Parent,llm_advisory,major:engineering; attribute:gender_balance,Inclusion concern,Data - Nimisha.csv,143,worried about daughter in male dominated engineering program,66c908a1c3476e6c,emotional_advisory,parent,high,high,llm_advisory,
engineering degree with heavy loans responsible decision,advisory,high,Parent,llm_advisory,major:engineering; attribute:student_loans,Financial caution,Data - Nimisha.csv,145,engineering degree with heavy loans responsible decision,2d58445ea7d10450,advisory,parent,high,high,llm_advisory,
engineering colleges balancing rigor and wellbeing,emotional_advisory,high,Parent,llm_recommendation,major:engineering; attribute:student_wellbeing,Culture balance,Data - Nimisha.csv,149,engineering colleges balancing rigor and wellbeing,5bf64ac12155d871,emotional_advisory,parent,high,high,llm_recommendation,
how to guide student interested in both aerospace and physics,advisory,high,Counselor,llm_advisory,major:aerospace_engineering; major:physics,Overlapping interests,Data - Nimisha.csv,152,how to guide student interested in both aerospace and physics,044adf7f369ab344,advisory,counselor,high,high,llm_advisory,
supporting first gen student applying to engineering schools,emotional_advisory,high,Counselor,llm_advisory,major:engineering; attribute:first_generation,Access support,Data - Nimisha.csv,153,supporting first gen student applying to engineering schools,833f146effda669c,emotional_advisory,counselor,high,high,llm_advisory,
student wants tech career but dislikes coding,advisory,high,Counselor,llm_advisory,field:technology; major:computer_science,Alternative pathways,Data - Nimisha.csv,157,student wants tech career but dislikes coding,79deefc291b045b2,advisory,counselor,high,high,llm_advisory,
