query_text,persona,intent_label,complexity,notes
Carnegie Mellon,high_school_student,exact_lookup,short_circuit,simple entity
MIT housing,high_school_student,attribute_lookup,short_circuit,single attribute
schools in Texas with low student-to-faculty ratio,high_school_student,filtered_search,medium,1–2 filters
affordable engineering schools in warm states with good job placement,high_school_student,multi_constraint,complex,multi-constraint
Purdue vs MIT,high_school_student,comparison,complex,compare entities
recommend large colleges not Florida for architecture safety schools,high_school_student,recommendation,complex,needs recommendations
do i need sat for UC Berkeley,high_school_student,admissions_process,medium,how-to / admissions
how to lower college costs,high_school_student,cost_financial_aid,medium,cost / aid
schools with normal people,high_school_student,campus_life_fit,llm_needed,subjective fit
best colleges for mechanical engineering job outcomes,high_school_student,career_outcomes,medium,outcomes
ucla vibe but not so expensive,high_school_student,rewrite_needed,complex,needs rewrite
request demo for our admissions team,high_school_student,b2b_partnership,medium,B2B
cornell,college_student,exact_lookup,short_circuit,simple entity
UC Irvine scholarships,college_student,attribute_lookup,short_circuit,single attribute
colleges in the Midwest,college_student,filtered_search,medium,1–2 filters
colleges not Florida under 30k with strong research and internships,college_student,multi_constraint,complex,multi-constraint
Cornell vs UT Austin,college_student,comparison,complex,compare entities
schools like Harvard but cheaper,college_student,recommendation,complex,needs recommendations
what essays does University of Maryland require,college_student,admissions_process,medium,how-to / admissions
how to lower college costs,college_student,cost_financial_aid,medium,cost / aid
schools good for sports culture,college_student,campus_life_fit,llm_needed,subjective fit
schools with high internship placement rates,college_student,career_outcomes,medium,outcomes
harvard but less stressful,college_student,rewrite_needed,complex,needs rewrite
api access for college partners,college_student,b2b_partnership,medium,B2B
Vanderbilt,parent,exact_lookup,short_circuit,simple entity
University of Florida housing guarantee,parent,attribute_lookup,short_circuit,single attribute; parent framing
best political science schools in Texas,parent,filtered_search,medium,1–2 filters
colleges in Texas full ride options with strong research and internships,parent,multi_constraint,complex,multi-constraint
Penn State tuition vs Princeton tuition,parent,comparison,complex,compare entities
what schools should i apply to for architecture in California under 20k,parent,recommendation,complex,needs recommendations
University of Washington application deadlines,parent,admissions_process,medium,how-to / admissions
how to lower college costs,parent,cost_financial_aid,medium,cost / aid
University of Michigan chill campus,parent,campus_life_fit,llm_needed,subjective fit
best colleges for aerospace engineering job outcomes,parent,career_outcomes,medium,outcomes
ucla vibe but not so expensive,parent,rewrite_needed,complex,needs rewrite
enterprise access for counselors and districts,parent,b2b_partnership,medium,B2B
schools with strong first gen support,counselor_teacher,exact_lookup,short_circuit,simple entity; counselor framing
Carnegie Mellon mental health counseling,counselor_teacher,attribute_lookup,short_circuit,single attribute
schools in the Midwest with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters; counselor framing
schools with strong first gen support,counselor_teacher,multi_constraint,complex,multi-constraint; counselor framing
UCLA tuition vs Purdue tuition,counselor_teacher,comparison,complex,compare entities
recommend medium-sized colleges in Texas for neuroscience not too competitive,counselor_teacher,recommendation,complex,needs recommendations
University of Washington admissions profile average sat and gpa,counselor_teacher,admissions_process,medium,how-to / admissions; counselor framing
Purdue admissions profile average sat and gpa,counselor_teacher,cost_financial_aid,medium,cost / aid; counselor framing
schools good for chill campus,counselor_teacher,campus_life_fit,llm_needed,subjective fit
Penn State job placement for engineering,counselor_teacher,career_outcomes,medium,outcomes; counselor framing
mit without the suffering,counselor_teacher,rewrite_needed,complex,needs rewrite
how do we update our school profile data,counselor_teacher,b2b_partnership,medium,B2B
Rice University,advisor,exact_lookup,short_circuit,simple entity
UC San Diego acceptance rate,advisor,attribute_lookup,short_circuit,single attribute
universities with strong biology,advisor,filtered_search,medium,1–2 filters
affordable engineering schools near the beach with good job placement,advisor,multi_constraint,complex,multi-constraint; advisor framing
create reach target safety list for film in Texas under 40k,advisor,comparison,complex,compare entities; advisor framing
what schools should i apply to for political science in Texas good financial aid,advisor,recommendation,complex,needs recommendations
do i need sat for Brown,advisor,admissions_process,medium,how-to / admissions
University of Michigan scholarships,advisor,cost_financial_aid,medium,cost / aid; advisor framing
create reach target safety list for pre-law in California full ride options,advisor,campus_life_fit,llm_needed,subjective fit; advisor framing
best colleges for film job outcomes,advisor,career_outcomes,medium,outcomes
harvard but less stressful,advisor,rewrite_needed,complex,needs rewrite
enterprise access for counselors and districts,advisor,b2b_partnership,medium,B2B; advisor framing
how do we update our school profile data,college_b2b,exact_lookup,short_circuit,B2B (forced)
how do we update our school profile data,college_b2b,attribute_lookup,short_circuit,B2B (forced)
request demo for our admissions team,college_b2b,filtered_search,medium,B2B (forced)
how do we update our school profile data,college_b2b,multi_constraint,complex,B2B (forced)
request demo for our admissions team,college_b2b,comparison,complex,B2B (forced)
request demo for our admissions team,college_b2b,recommendation,complex,B2B (forced)
how do we update our school profile data,college_b2b,admissions_process,medium,B2B (forced)
request demo for our admissions team,college_b2b,cost_financial_aid,medium,B2B (forced)
api access for college partners,college_b2b,campus_life_fit,llm_needed,B2B (forced)
how do we update our school profile data,college_b2b,career_outcomes,medium,B2B (forced)
how do we update our school profile data,college_b2b,rewrite_needed,complex,B2B (forced)
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B
penn state,high_school_student,exact_lookup,short_circuit,simple entity; complexity_seed
colleges near the beach,high_school_student,filtered_search,medium,1–2 filters; complexity_seed
affordable data science schools near the beach with good job placement,high_school_student,multi_constraint,complex,multi-constraint; complexity_seed
schools good for normal people,high_school_student,campus_life_fit,llm_needed,subjective fit; complexity_seed
Princeton,college_student,exact_lookup,short_circuit,simple entity; complexity_seed
schools in the Midwest with low student-to-faculty ratio,college_student,filtered_search,medium,1–2 filters; complexity_seed
colleges near Chicago under 30k with strong research and internships,college_student,multi_constraint,complex,multi-constraint; complexity_seed
colleges where people dont care about football,college_student,campus_life_fit,llm_needed,subjective fit; complexity_seed
university of michigan,parent,exact_lookup,short_circuit,simple entity; complexity_seed
universities with strong psychology,parent,filtered_search,medium,1–2 filters; complexity_seed
four year cost of UC Berkeley including housing,parent,multi_constraint,complex,multi-constraint; parent framing; complexity_seed
schools good for introverts,parent,campus_life_fit,llm_needed,subjective fit; complexity_seed
schools with strong first gen support,counselor_teacher,exact_lookup,short_circuit,simple entity; counselor framing; complexity_seed
schools in the Midwest with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters; complexity_seed
Rice University admissions profile average sat and gpa,counselor_teacher,multi_constraint,complex,multi-constraint; counselor framing; complexity_seed
colleges where people dont care about football,counselor_teacher,campus_life_fit,llm_needed,subjective fit; counselor framing; complexity_seed
create reach target safety list for business not Florida under 40k,advisor,exact_lookup,short_circuit,simple entity; advisor framing; complexity_seed
colleges near a major tech hub,advisor,filtered_search,medium,1–2 filters; complexity_seed
colleges near the beach under 40k with strong research and internships,advisor,multi_constraint,complex,multi-constraint; complexity_seed
Cornell normal people,advisor,campus_life_fit,llm_needed,subjective fit; complexity_seed
request demo for our admissions team,college_b2b,exact_lookup,short_circuit,B2B (forced); complexity_seed
how do we update our school profile data,college_b2b,filtered_search,medium,B2B (forced); complexity_seed
how do we update our school profile data,college_b2b,multi_constraint,complex,B2B (forced); complexity_seed
request demo for our admissions team,college_b2b,campus_life_fit,llm_needed,B2B (forced); complexity_seed
enterprise access for counselors and districts,college_b2b,b2b_partnership,short_circuit,B2B
University of Florida scholarships,counselor_teacher,cost_financial_aid,medium,cost / aid
UC Irvine job placement for psychology,parent,career_outcomes,medium,outcomes; parent framing
how do i apply to UC San Diego,high_school_student,admissions_process,medium,how-to / admissions
recommend small colleges in Texas for business reach schools,counselor_teacher,recommendation,complex,needs recommendations
Stanford vs Harvard,advisor,comparison,medium,compare entities; advisor framing
what schools should i apply to for data science in warm states under 20k,high_school_student,recommendation,complex,needs recommendations
schools with strong first gen support,counselor_teacher,attribute_lookup,short_circuit,single attribute; counselor framing
Boston University,counselor_teacher,exact_lookup,short_circuit,simple entity
Penn State application deadlines,high_school_student,admissions_process,medium,how-to / admissions
does Brown have chemistry,high_school_student,attribute_lookup,short_circuit,single attribute
financial aid for Penn State,counselor_teacher,attribute_lookup,short_circuit,single attribute
acceptance rate for University of Maryland,parent,attribute_lookup,short_circuit,single attribute
enterprise access for counselors and districts,college_b2b,b2b_partnership,medium,B2B
Virginia Tech,high_school_student,exact_lookup,short_circuit,simple entity
schools like Princeton but cheaper,counselor_teacher,recommendation,complex,needs recommendations; counselor framing
schools with strong first gen support,counselor_teacher,comparison,complex,compare entities; counselor framing
Caltech financial aid for out of state,advisor,cost_financial_aid,medium,cost / aid
harvard but less stressful,parent,rewrite_needed,complex,needs rewrite
NYU job placement for architecture,advisor,career_outcomes,medium,outcomes
medium-sized engineering colleges on the East Coast under 40k target schools,counselor_teacher,multi_constraint,complex,multi-constraint
four year cost of University of Washington including housing,parent,career_outcomes,complex,outcomes; parent framing
does Vanderbilt have neuroscience,parent,attribute_lookup,short_circuit,single attribute
medium-sized electrical engineering colleges near Chicago full ride options safety schools,high_school_student,multi_constraint,complex,multi-constraint
University of Florida but cheaper,advisor,rewrite_needed,complex,needs rewrite
Stanford housing,high_school_student,attribute_lookup,short_circuit,single attribute
MIT tuition vs Arizona State tuition,high_school_student,comparison,complex,compare entities
large neuroscience colleges in Texas under 40k target schools,college_student,multi_constraint,complex,multi-constraint
create reach target safety list for film in warm states full ride options,advisor,rewrite_needed,complex,needs rewrite; advisor framing
colleges near the beach,college_student,filtered_search,medium,1–2 filters
Rice University admissions profile average sat and gpa,counselor_teacher,b2b_partnership,medium,B2B; counselor framing
universities with strong engineering,parent,filtered_search,medium,1–2 filters; parent framing
pricing for partner colleges,high_school_student,b2b_partnership,medium,B2B
how do we update our school profile data,college_b2b,b2b_partnership,complex,B2B
Northwestern,parent,exact_lookup,short_circuit,simple entity
MIT scholarships,parent,cost_financial_aid,medium,cost / aid
vanderbilt,high_school_student,exact_lookup,short_circuit,simple entity
Caltech tuition vs Virginia Tech tuition,college_student,comparison,complex,compare entities
Carnegie Mellon but cheaper,high_school_student,rewrite_needed,complex,needs rewrite
University of Washington vs Arizona State,parent,comparison,complex,compare entities
ucla vibe but not so expensive,advisor,rewrite_needed,complex,needs rewrite
create reach target safety list for pre-law on the East Coast under 30k,advisor,multi_constraint,complex,multi-constraint; advisor framing
pricing for partner colleges,college_b2b,b2b_partnership,medium,B2B
best business schools in warm states,college_student,filtered_search,medium,1–2 filters
Stanford,counselor_teacher,exact_lookup,short_circuit,simple entity; counselor framing
do i need sat for Carnegie Mellon,counselor_teacher,admissions_process,llm_needed,how-to / admissions
Vanderbilt chill campus,college_student,campus_life_fit,llm_needed,subjective fit
colleges where people dont care about football,parent,campus_life_fit,llm_needed,subjective fit
schools with strong first gen support,counselor_teacher,admissions_process,medium,how-to / admissions; counselor framing
colleges near Chicago under 20k with strong research and internships,advisor,multi_constraint,complex,multi-constraint
recommend small colleges in the Midwest for business target schools,college_student,recommendation,complex,needs recommendations
ucla vibe but not so expensive,counselor_teacher,rewrite_needed,complex,needs rewrite
harvard but less stressful,high_school_student,rewrite_needed,complex,needs rewrite
mit without the suffering,high_school_student,rewrite_needed,complex,needs rewrite
schools in Texas with low student-to-faculty ratio,parent,filtered_search,medium,1–2 filters
enterprise access for counselors and districts,college_b2b,b2b_partnership,llm_needed,B2B
how do we update our school profile data,college_student,b2b_partnership,medium,B2B
cheapest pre-law schools near a major tech hub,advisor,cost_financial_aid,short_circuit,cost / aid
enterprise access for counselors and districts,college_b2b,b2b_partnership,complex,B2B
recommend medium-sized colleges in warm states for economics reach schools,parent,recommendation,complex,needs recommendations
Boston University housing guarantee,parent,b2b_partnership,short_circuit,B2B; parent framing
MIT scholarships,college_student,cost_financial_aid,medium,cost / aid
Purdue tuition vs Rice University tuition,parent,comparison,complex,compare entities
schools with high internship placement rates,counselor_teacher,career_outcomes,llm_needed,outcomes
schools in Texas with low student-to-faculty ratio,college_student,filtered_search,medium,1–2 filters
enterprise access for counselors and districts,counselor_teacher,b2b_partnership,medium,B2B
USC housing guarantee,parent,exact_lookup,short_circuit,simple entity; parent framing
recommend large colleges in Texas for biology reach schools,parent,recommendation,complex,needs recommendations
Duke tuition vs University of Maryland tuition,counselor_teacher,comparison,complex,compare entities
what essays does Brown require,college_student,admissions_process,medium,how-to / admissions
best colleges for aerospace engineering job outcomes,college_student,career_outcomes,llm_needed,outcomes
colleges near a major tech hub low tuition with strong research and internships,counselor_teacher,multi_constraint,complex,multi-constraint
colleges where people dont care about football,counselor_teacher,campus_life_fit,llm_needed,subjective fit
colleges not Florida good financial aid with strong research and internships,college_student,multi_constraint,complex,multi-constraint
Virginia Tech,college_student,exact_lookup,short_circuit,simple entity
schools with high internship placement rates,advisor,career_outcomes,medium,outcomes
University of Michigan job placement for engineering,advisor,career_outcomes,medium,outcomes; advisor framing
Harvard financial aid for out of state,counselor_teacher,cost_financial_aid,medium,cost / aid
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B
