Query,Persona,Intent,Complexity,Entities,Route,Notes
MIT,high_school_student,exact_lookup,short_circuit,{school:MIT},typesense_only,simple entity
UCLA tuition,high_school_student,attribute_lookup,short_circuit,"{school:UCLA,attribute:tuition}",typesense_only,single attribute
engineering schools in California,high_school_student,filtered_search,medium,"{program:engineering,location:CA}",search,1–2 filters
affordable engineering schools near the beach,high_school_student,multi_constraint,complex,"{program:engineering,cost:low,location:coast}",agentic,multi-constraint
Purdue vs Georgia Tech,high_school_student,comparison,complex,"{schools:[Purdue,Georgia Tech]}",comparison_engine,compare entities
schools like MIT but less competitive,high_school_student,recommendation,complex,"{reference:MIT,selectivity:lower}",agentic,needs recommendations
what GPA do I need for NYU,high_school_student,admissions_process,medium,"{school:NYU,metric:GPA}",llm,how-to admissions
how to pay for college without loans,high_school_student,cost_financial_aid,medium,{},llm,cost/aid guidance
schools with fun campus life,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for cs job placement,high_school_student,career_outcomes,medium,{program:CS},llm,outcomes
Cornell,college_student,exact_lookup,short_circuit,{school:Cornell},typesense_only,simple entity
UC San Diego housing,college_student,attribute_lookup,short_circuit,"{school:UCSD,attribute:housing}",typesense_only,single attribute
colleges in the Midwest,college_student,filtered_search,medium,{location:Midwest},search,1–2 filters
research universities under 40k,college_student,multi_constraint,complex,"{research:true,cost:<40k}",agentic,multi-constraint
Cornell vs Northwestern,college_student,comparison,complex,"{schools:[Cornell,Northwestern]}",comparison_engine,compare entities
schools like NYU but cheaper,college_student,recommendation,complex,"{reference:NYU,cost:lower}",agentic,needs recommendations
what essays does UMich require,college_student,admissions_process,medium,"{school:UMich,requirement:essays}",llm,how-to admissions
how to lower out of state tuition,college_student,cost_financial_aid,medium,{},llm,cost/aid
schools with strong sports culture,college_student,campus_life_fit,llm_needed,{},llm,subjective fit
colleges with high internship placement,college_student,career_outcomes,medium,{},llm,outcomes
Vanderbilt,parent,exact_lookup,short_circuit,{school:Vanderbilt},typesense_only,simple entity
University of Florida housing guarantee,parent,attribute_lookup,short_circuit,"{school:UF,attribute:housing}",typesense_only,parent framing
private colleges with merit aid,parent,filtered_search,medium,"{aid:merit,school_type:private}",search,1–2 filters
safe colleges near major cities under 50k,parent,multi_constraint,complex,"{safety:true,location:city,cost:<50k}",agentic,multi-constraint
UCLA vs USC cost comparison,parent,comparison,complex,"{schools:[UCLA,USC],metric:cost}",comparison_engine,compare cost
good colleges for anxious students,parent,recommendation,complex,{},agentic,needs recommendations
how does financial aid work,parent,cost_financial_aid,medium,{},llm,cost/aid
schools with strong student support services,parent,campus_life_fit,llm_needed,{},llm,subjective fit
graduation rates by college,parent,career_outcomes,medium,{},llm,outcomes
when do college decisions come out,parent,admissions_process,medium,{},llm,admissions timeline
average SAT for UCLA,counselor_teacher,attribute_lookup,short_circuit,"{school:UCLA,metric:SAT}",typesense_only,single attribute
colleges in Texas,counselor_teacher,filtered_search,medium,{location:TX},search,1–2 filters
engineering safety schools for top students,counselor_teacher,recommendation,complex,"{program:engineering,category:safety}",agentic,recommendations
selective colleges with holistic admissions,counselor_teacher,multi_constraint,complex,{},agentic,multi-constraint
Harvard vs Yale outcomes,counselor_teacher,comparison,complex,"{schools:[Harvard,Yale]}",comparison_engine,compare outcomes
what is yield rate,counselor_teacher,admissions_process,medium,{},llm,counselor terminology
schools with strong advising programs,counselor_teacher,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for premed placement,counselor_teacher,career_outcomes,medium,{track:premed},llm,outcomes
colleges that superscore SAT,counselor_teacher,admissions_process,medium,{},llm,policy
how selective is Northeastern,counselor_teacher,attribute_lookup,short_circuit,"{school:Northeastern,metric:selectivity}",typesense_only,single attribute
best colleges for consulting placement,advisor,career_outcomes,medium,{},llm,outcomes
target schools for investment banking,advisor,career_outcomes,medium,{},llm,outcomes
schools like Wharton,advisor,recommendation,complex,{reference:Wharton},agentic,needs recommendations
top business programs in the US,advisor,filtered_search,medium,{program:business},search,1–2 filters
public ivies,advisor,filtered_search,medium,{},search,category search
NYU vs Columbia business,advisor,comparison,complex,"{schools:[NYU,Columbia]}",comparison_engine,compare programs
what matters most for mba recruiting,advisor,career_outcomes,medium,{},llm,career guidance
schools with strong alumni networks,advisor,campus_life_fit,llm_needed,{},llm,subjective fit
how rankings should be used,advisor,guidance,medium,{},llm,meta guidance
regional prestige vs national prestige,advisor,guidance,complex,{},llm,conceptual
request demo for admissions platform,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
API access for institutional data,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
integrate college search into our website,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
how to update our school profile,college_b2b,profile_management,medium,{},b2b_portal,B2B
institutional analytics dashboard,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
compare our school to peer institutions,college_b2b,comparison,complex,{},comparison_engine,B2B benchmarking
improve application yield,college_b2b,recommendation,complex,{},agentic,B2B strategy
student search behavior trends,college_b2b,analytics_request,medium,{},analytics,B2B data
international recruitment insights,college_b2b,analytics_request,complex,{},analytics,B2B data
partnership pricing tiers,college_b2b,b2b_partnership,short_circuit,{},sales_pipeline,B2B
stanford,high_school_student,exact_lookup,short_circuit,{school:Stanford},typesense_only,simple entity
usc acceptance rate,high_school_student,attribute_lookup,short_circuit,"{school:USC,metric:acceptance_rate}",typesense_only,single attribute
schools in new england,high_school_student,filtered_search,medium,{location:New England},search,1–2 filters
cheap premed schools in warm states,high_school_student,multi_constraint,complex,"{track:premed,cost:low,climate:warm}",agentic,multi-constraint
duke vs vanderbilt,high_school_student,comparison,complex,"{schools:[Duke,Vanderbilt]}",comparison_engine,compare entities
schools like usc but public,high_school_student,recommendation,complex,"{reference:USC,school_type:public}",agentic,needs recommendations
do colleges care about freshman year grades,high_school_student,admissions_process,medium,{},llm,how admissions works
how to get more financial aid,high_school_student,cost_financial_aid,medium,{},llm,cost aid strategy
schools with normal social scenes,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for engineering internships,high_school_student,career_outcomes,medium,{program:engineering},llm,outcomes
brown university,college_student,exact_lookup,short_circuit,{school:Brown},typesense_only,simple entity
nyu dorms,college_student,attribute_lookup,short_circuit,"{school:NYU,attribute:housing}",typesense_only,single attribute
colleges in the south,college_student,filtered_search,medium,{location:South},search,1–2 filters
research schools with small class sizes,college_student,multi_constraint,complex,"{research:true,class_size:small}",agentic,multi-constraint
emory vs rice,college_student,comparison,complex,"{schools:[Emory,Rice]}",comparison_engine,compare entities
schools like boston university but cheaper,college_student,recommendation,complex,"{reference:BU,cost:lower}",agentic,needs recommendations
what does rolling admission mean,college_student,admissions_process,medium,{},llm,admissions concept
how to get merit scholarships,college_student,cost_financial_aid,medium,{},llm,cost aid
schools with active student orgs,college_student,campus_life_fit,llm_needed,{},llm,subjective fit
colleges with strong alumni recruiting,college_student,career_outcomes,medium,{},llm,outcomes
wake forest,parent,exact_lookup,short_circuit,{school:Wake Forest},typesense_only,simple entity
does northeastern guarantee housing,parent,attribute_lookup,short_circuit,"{school:Northeastern,attribute:housing}",typesense_only,parent framing
colleges near home,parent,filtered_search,medium,{location:near_user},search,1–2 filters
safe campuses with strong academics,parent,multi_constraint,complex,"{safety:true,academics:strong}",agentic,multi-constraint
tufts vs boston college,parent,comparison,complex,"{schools:[Tufts,BC]}",comparison_engine,compare entities
good colleges for shy students,parent,recommendation,complex,{},agentic,needs recommendations
how financial aid appeals work,parent,cost_financial_aid,medium,{},llm,cost aid
schools with mental health resources,parent,campus_life_fit,llm_needed,{},llm,subjective fit
employment outcomes by major,parent,career_outcomes,medium,{},llm,outcomes
when fafsa results come out,parent,admissions_process,medium,{},llm,financial timeline
what is demonstrated interest,counselor_teacher,admissions_process,medium,{},llm,counselor concept
schools that track demonstrated interest,counselor_teacher,filtered_search,medium,{},search,policy-based
engineering target schools,counselor_teacher,recommendation,complex,{program:engineering},agentic,recommendations
colleges with grade deflation,counselor_teacher,attribute_lookup,medium,{},llm,academic rigor
mit vs caltech outcomes,counselor_teacher,comparison,complex,"{schools:[MIT,Caltech]}",comparison_engine,compare outcomes
holistic admissions examples,counselor_teacher,guidance,medium,{},llm,process guidance
best colleges for first gen students,counselor_teacher,recommendation,complex,{},agentic,recommendations
schools that allow self reported scores,counselor_teacher,admissions_process,medium,{},llm,policy
selectivity vs acceptance rate,counselor_teacher,guidance,complex,{},llm,conceptual
college fit vs prestige,counselor_teacher,guidance,complex,{},llm,advising
top schools for product management,advisor,career_outcomes,medium,{},llm,outcomes
consulting feeder schools,advisor,career_outcomes,medium,{},llm,outcomes
schools like stanford for startups,advisor,recommendation,complex,{reference:Stanford},agentic,needs recommendations
top cs programs west coast,advisor,filtered_search,medium,"{program:CS,location:West Coast}",search,1–2 filters
ivy league alternatives,advisor,recommendation,complex,{},agentic,recommendations
berkeley vs ucla career outcomes,advisor,comparison,complex,"{schools:[Berkeley,UCLA]}",comparison_engine,compare outcomes
how much rankings matter for jobs,advisor,guidance,medium,{},llm,career guidance
schools with strong peer networks,advisor,campus_life_fit,llm_needed,{},llm,subjective fit
regional recruiting advantages,advisor,guidance,complex,{},llm,conceptual
prestige vs program strength,advisor,guidance,complex,{},llm,advising
institutional data licensing,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
white label college search,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
update admissions stats api,college_b2b,profile_management,medium,{},b2b_portal,B2B
peer benchmarking dashboard,college_b2b,analytics_request,complex,{},analytics,B2B data
college search conversion metrics,college_b2b,analytics_request,medium,{},analytics,B2B data
compare our outcomes to peers,college_b2b,comparison,complex,{},comparison_engine,B2B benchmarking
optimize yield strategy,college_b2b,recommendation,complex,{},agentic,B2B strategy
student demand trends by major,college_b2b,analytics_request,complex,{},analytics,B2B data
crm integration options,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
enterprise pricing discussion,college_b2b,b2b_partnership,short_circuit,{},sales_pipeline,B2B
princeton,high_school_student,exact_lookup,short_circuit,{school:Princeton},typesense_only,simple entity
caltech acceptance rate,high_school_student,attribute_lookup,short_circuit,"{school:Caltech,metric:acceptance_rate}",typesense_only,single attribute
colleges near los angeles,high_school_student,filtered_search,medium,{location:Los Angeles},search,1–2 filters
cheap schools with good stem programs,high_school_student,multi_constraint,complex,"{cost:low,program:STEM}",agentic,multi-constraint
unc vs uva,high_school_student,comparison,complex,"{schools:[UNC,UVA]}",comparison_engine,compare entities
schools like georgia tech but not in the south,high_school_student,recommendation,complex,"{reference:Georgia Tech,exclude_region:South}",agentic,needs recommendations
do extracurriculars matter more than grades,high_school_student,admissions_process,medium,{},llm,admissions weighting
how to find scholarships early,high_school_student,cost_financial_aid,medium,{},llm,cost aid
schools with chill students,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for tech careers,high_school_student,career_outcomes,medium,{},llm,outcomes
dartmouth,college_student,exact_lookup,short_circuit,{school:Dartmouth},typesense_only,simple entity
washu tuition,college_student,attribute_lookup,short_circuit,"{school:WashU,attribute:tuition}",typesense_only,single attribute
schools in the pacific northwest,college_student,filtered_search,medium,{location:PNW},search,1–2 filters
strong liberal arts colleges with research,college_student,multi_constraint,complex,"{school_type:LAC,research:true}",agentic,multi-constraint
usc vs nyu outcomes,college_student,comparison,complex,"{schools:[USC,NYU]}",comparison_engine,compare outcomes
schools like umich but smaller,college_student,recommendation,complex,"{reference:UMich,size:smaller}",agentic,needs recommendations
what is early decision ii,college_student,admissions_process,medium,{},llm,admissions concept
how to negotiate financial aid,college_student,cost_financial_aid,medium,{},llm,cost aid
schools with collaborative culture,college_student,campus_life_fit,llm_needed,{},llm,subjective fit
colleges with good grad school placement,college_student,career_outcomes,medium,{},llm,outcomes
boston university,parent,exact_lookup,short_circuit,{school:Boston University},typesense_only,simple entity
does rice require freshmen to live on campus,parent,attribute_lookup,short_circuit,"{school:Rice,attribute:housing}",typesense_only,parent framing
colleges close to major airports,parent,filtered_search,medium,{location:near_airport},search,1–2 filters
academically strong schools with low crime,parent,multi_constraint,complex,"{academics:strong,safety:high}",agentic,multi-constraint
washu vs emory,parent,comparison,complex,"{schools:[WashU,Emory]}",comparison_engine,compare entities
supportive colleges for first year students,parent,recommendation,complex,{},agentic,needs recommendations
how much debt is too much for college,parent,cost_financial_aid,medium,{},llm,cost guidance
schools with good advising support,parent,campus_life_fit,llm_needed,{},llm,subjective fit
college roi by major,parent,career_outcomes,medium,{},llm,outcomes
when to commit to a college,parent,admissions_process,medium,{},llm,decision timeline
average gpa at selective colleges,counselor_teacher,attribute_lookup,medium,{},llm,contextual metric
colleges in the mountain west,counselor_teacher,filtered_search,medium,{location:Mountain West},search,1–2 filters
balanced list strategy examples,counselor_teacher,guidance,medium,{},llm,advising
