Query,Persona,Intent,Complexity,Entities,Route,Notes
colleges with block scheduling systems,highschool student,attribute_lookup,medium,"block scheduling, academic calendar, college",academic_policy_info,academic policy
schools with strong actuarial science programs,highschool student,attribute_lookup,medium,"actuarial science, programs, school",academic_program_info,program lookup
universities with free printing for students,highschool student,attribute_lookup,short_circuit,"printing, free, campus services, university",campus_services_info,campus perks
colleges with strong supply chain management programs,highschool student,attribute_lookup,medium,"supply chain management, programs, college",academic_program_info,program lookup
schools with campus beekeeping programs,highschool student,attribute_lookup,short_circuit,"beekeeping, campus, clubs, school",campus_services_info,quirky campus feature
universities with research in quantum computing,highschool student,attribute_lookup,complex,"quantum computing, research, undergraduate, university",academic_program_info,research focus
colleges with student-run legal clinics,highschool student,attribute_lookup,medium,"student-run, legal clinics, clubs, college",campus_services_info,extracurricular
schools with strong data analytics programs,highschool student,attribute_lookup,medium,"data analytics, programs, school",academic_program_info,program lookup
universities with low commuter student populations,highschool student,attribute_lookup,medium,"commuter students, low, campus culture, university",college_search,campus culture
colleges with on-campus childcare for student parents,highschool student,attribute_lookup,short_circuit,"childcare, on-campus, student parents, college",campus_services_info,campus support
schools with strong aerospace engineering programs,highschool student,attribute_lookup,medium,"aerospace engineering, programs, school",academic_program_info,program lookup
universities with open courseware or free online resources,highschool student,attribute_lookup,short_circuit,"open courseware, free resources, online, university",campus_services_info,campus perks
colleges with student-run law review journals,highschool student,attribute_lookup,medium,"student-run, law review, journals, clubs, college",campus_services_info,extracurricular
schools with high retention rates for sophomores,highschool student,attribute_lookup,medium,"retention rate, sophomores, high, school",college_search,outcomes
universities with strong international relations programs,highschool student,attribute_lookup,medium,"international relations, programs, university",academic_program_info,program lookup
colleges with campus food pantries,highschool student,attribute_lookup,short_circuit,"food pantry, campus, college",campus_services_info,campus support
schools with active veterans support programs,highschool student,attribute_lookup,medium,"veterans, support programs, services, school",campus_services_info,student support
universities with research in materials science,highschool student,attribute_lookup,complex,"materials science, research, undergraduate, university",academic_program_info,research focus
colleges with student-run investment funds,highschool student,attribute_lookup,medium,"student-run, investment funds, clubs, college",campus_services_info,extracurricular
schools with strong game design programs,highschool student,attribute_lookup,medium,"game design, programs, school",academic_program_info,program lookup
universities with campus 3D printing labs,highschool student,attribute_lookup,short_circuit,"3D printing, labs, campus, university",campus_services_info,facilities
colleges with strong human resources programs,highschool student,attribute_lookup,medium,"human resources, programs, college",academic_program_info,program lookup
schools with on-campus recording studios,highschool student,attribute_lookup,short_circuit,"recording studios, on-campus, facilities, school",campus_services_info,facilities
universities with free museum access for students,highschool student,attribute_lookup,short_circuit,"museum access, free, students, university",campus_services_info,campus perks
colleges with active astronomy clubs,highschool student,attribute_lookup,medium,"astronomy, clubs, student organizations, college",campus_services_info,extracurricular
schools with strong forensic science programs,highschool student,attribute_lookup,medium,"forensic science, programs, school",academic_program_info,program lookup
universities with student-run podcasts,highschool student,attribute_lookup,short_circuit,"student-run, podcasts, clubs, university",campus_services_info,extracurricular
colleges with strong sports medicine programs,highschool student,attribute_lookup,medium,"sports medicine, programs, college",academic_program_info,program lookup
schools with diverse faculty representation,highschool student,filtered_search,medium,"diversity, faculty, representation, school",college_search,campus culture
universities near major medical centers,highschool student,filtered_search,medium,"location, medical centers, nearby, university",college_search,location filter
colleges with strong religious studies programs,highschool student,attribute_lookup,medium,"religious studies, programs, college",academic_program_info,program lookup
schools with guaranteed merit scholarships,highschool student,attribute_lookup,medium,"merit scholarships, guaranteed, school",financial_aid_advising,financial info
universities with undergraduate patent opportunities,highschool student,attribute_lookup,complex,"undergraduate research, patents, IP, university",academic_program_info,research access
