query_id,query_text,query_norm,resolved_route,resolution_method,resolution_confidence,resolution_note,suggested_route,suggested_confidence,row_count,observed_routes,observed_valid_routes,observed_pipeline_routes,canonical_intent,persona_hint,observed_intents,observed_personas,source_files,source_rows,review_route,reviewer,review_notes
7dddbda280d9a36b,Arizona State housing guarantee,arizona state housing guarantee,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",complex,0.5,4,complex:2|medium:1|short_circuit:1,complex:2|medium:1|short_circuit:1,,exact_lookup,parent,career_outcomes:1|comparison:1|exact_lookup:1|recommendation:1,parent:4,Data - Shivansh.csv,Data - Shivansh.csv:189|Data - Shivansh.csv:244|Data - Shivansh.csv:935|Data - Shivansh.csv:981,,,
9cfac4e4df3fb3a0,Boston University housing guarantee,boston university housing guarantee,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",complex,0.357143,7,complex:3|llm_needed:1|medium:1|short_circuit:2,complex:3|llm_needed:1|medium:1|short_circuit:2,,attribute_lookup,parent,admissions_process:1|attribute_lookup:2|b2b_partnership:1|campus_life_fit:1|comparison:1|recommendation:1,parent:7,Data - Shivansh.csv,Data - Shivansh.csv:158|Data - Shivansh.csv:412|Data - Shivansh.csv:571|Data - Shivansh.csv:803|Data - Shivansh.csv:904|Data - Shivansh.csv:1092|Data - Shivansh.csv:2367,,,
b023b79af85bfcd6,Brown housing guarantee,brown housing guarantee,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",medium,0.5,2,complex:1|medium:1,complex:1|medium:1,,filtered_search,parent,filtered_search:1|recommendation:1,parent:2,Data - Shivansh.csv,Data - Shivansh.csv:736|Data - Shivansh.csv:1620,,,
f7b296a0fa98a46d,Caltech admissions profile average sat and gpa,caltech admissions profile average sat and gpa,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",complex,0.5,2,complex:1|medium:1,complex:1|medium:1,,multi_constraint,counselor_teacher,admissions_process:1|multi_constraint:1,counselor_teacher:2,Data - Shivansh.csv,Data - Shivansh.csv:233|Data - Shivansh.csv:1588,,,
fd5776946f1fdbe8,Caltech financial aid,caltech financial aid,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",short_circuit,0.5,3,medium:2|short_circuit:1,medium:2|short_circuit:1,,attribute_lookup,college_student,attribute_lookup:2|cost_financial_aid:1,college_student:1|counselor_teacher:1|parent:1,Data - Shivansh.csv,Data - Shivansh.csv:1654|Data - Shivansh.csv:2610|Data - Shivansh.csv:3365,,,
df8f40e9a8ca703c,Caltech housing guarantee,caltech housing guarantee,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",medium,0.5,2,medium:1|short_circuit:1,medium:1|short_circuit:1,,admissions_process,parent,admissions_process:1|attribute_lookup:1,parent:2,Data - Shivansh.csv,Data - Shivansh.csv:583|Data - Shivansh.csv:973,,,
0eadd9e476799266,Carnegie Mellon admissions profile average sat and gpa,carnegie mellon admissions profile average sat and gpa,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",short_circuit,0.333333,3,complex:1|medium:1|short_circuit:1,complex:1|medium:1|short_circuit:1,,attribute_lookup,counselor_teacher,attribute_lookup:1|b2b_partnership:1|rewrite_needed:1,counselor_teacher:3,Data - Shivansh.csv,Data - Shivansh.csv:235|Data - Shivansh.csv:1236|Data - Shivansh.csv:1263,,,
9cc2ab3f1fb48cfb,colleges near tech hubs,colleges near tech hubs,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",medium,0.6,2,complex:1|medium:1,complex:1|medium:1,medium:1,filtered_search,parent,filtered_search:1|multi_constraint:1,high_school_student:1|parent:1,Data - Anika.csv|Data Anthony.csv,Data - Anika.csv:384|Data Anthony.csv:56,,,
0568d9250e8800a0,Columbia admissions profile average sat and gpa,columbia admissions profile average sat and gpa,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",medium,0.5,2,complex:1|medium:1,complex:1|medium:1,,b2b_partnership,counselor_teacher,b2b_partnership:1|recommendation:1,counselor_teacher:2,Data - Shivansh.csv,Data - Shivansh.csv:1632|Data - Shivansh.csv:1688,,,
dc361283185847e6,create reach target safety list for neuroscience near Chicago full ride options,create reach target safety list for neuroscience near chicago full ride options,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",llm_needed,0.5,2,complex:1|llm_needed:1,complex:1|llm_needed:1,,campus_life_fit,advisor,campus_life_fit:1|rewrite_needed:1,advisor:2,Data - Shivansh.csv,Data - Shivansh.csv:521|Data - Shivansh.csv:2320,,,
e56e4304a3f84572,create reach target safety list for philosophy near Chicago full ride options,create reach target safety list for philosophy near chicago full ride options,,manual_review,0.0,"Evidence was tied, weak, missing, or internally inconsistent",complex,0.5,2,complex:1|short_circuit:1,complex:1|short_circuit:1,,recommendation,advisor,exact_lookup:1|recommendation:1,advisor:2,Data - Shivansh.csv,Data - Shivansh.csv:1081|Data - Shivansh.csv:1898,,,
